날짜,조식,조식열량,중식,중식열량,석식,석식열량,증특식,증특식열량,열량합계
2024-09-06(금),돼지고기김치찌개,294.56,강된장찌개,80.44,맑은콩나물국,23.85,,,4267.88
2024-09-06(금),바싹불고기채소무침,447.66,삼겹살&소시지구이,891.98,춘천닭갈비,534.46,,,4267.88
2024-09-06(금),검은콩조림,0.0,실곤약야채무침,41.8,계란찜,110.44,,,4267.88
2024-09-06(금),가공우유,282.5,보쌈김치,0.0,배추김치,13.68,,,4267.88
2024-09-06(금),백김치,0.0,"아이스크림, 떠먹는형",470.0,,,,,4267.88
2024-09-07(토),치아바타샌드위치,900.0,큐브스테이크,539.18,쌀밥,355.0,,,3087.03
2024-09-07(토),시리얼,175.95,카페라떼,168.0,쇠고기당면찌개,102.52,,,3087.03
2024-09-07(토),오이피클,70.0,,,오징어떡볶음,291.97,,,3087.03
2024-09-07(토),야채샐러드,130.73,,,치즈어묵바,149.0,,,3087.03
2024-09-11(수),시리얼,175.95,아이스홍시,85.98,망고큐브&연유,132.0,,,3450.49
2024-09-11(수),오이피클,70.0,열무김치,24.0,배추김치,13.68,,,3450.49
2024-09-11(수),우유),65.0,,,이온음료,60.0,,,3450.49
2024-09-12(목),쌀밥,355.0,사쪽마늘빵,468.9,쌀밥,355.0,,,3832.52
2024-09-12(목),돼지고기무찌개,69.73,스파게티,783.8,짬뽕순두부국,139.8,,,3832.52
2024-09-12(목),돈육청경채볶음,291.97,블랙타이거치즈새우,340.1,짜장불고기,368.11,,,3832.52
2024-09-12(목),견과류멸치볶음,62.09,모듬피클,36.8,멘보샤,144.7,,,3832.52
2024-09-12(목),배추김치,13.68,오리엔탈샐러드,70.48,배추김치,13.68,,,3832.52
2024-09-12(목),짜먹는요구르트,300.0,배추김치,13.68,,,,,3832.52
2024-09-12(목),,,"청량음료, 코카콜라음료, 코카콜라제로, 250mL/캔",5.0,,,,,3832.52
2024-09-13(금),쌀밥,355.0,잡곡밥,366.51,쌀밥,355.0,,,3072.75
