날짜,조식,조식열량,중식,중식열량,석식,석식열량,증특식,증특식열량,열량합계
2023-07-03,베이컨계란찜(01)(02)(05)(09)(10),166.44kcal,배추김치(다수공급자),20kcal,맛김,5.25kcal,,,3971.73kcal
2023-07-03,배추김치(다수공급자),20kcal,아이스샌드(02),252kcal,배추김치(다수공급자),20kcal,,,3971.73kcal
2023-07-03,"생수(500ML,후식)",0kcal,,,,,,,3971.73kcal
2023-07-03,"우유(백색우유(200ML,연간))(02)",122kcal,,,,,,,3971.73kcal
2023-07-04,크림스프(05)(06),41.85kcal,쇠고기국밥(05)(06)(16),481.28kcal,밥,300kcal,,,2708.78kcal
2023-07-04,햄슬라이스구이,51.1kcal,명엽채볶음,14.88kcal,콩비지찌개,85.14kcal,,,2708.78kcal
2023-07-04,스크램블에그(01),145.71kcal,고등어필렛구이(07),289.57kcal,구운불고기(완제품)(05)(06)(10),580.91kcal,,,2708.78kcal
2023-07-04,양배추샐러드,42.66kcal,총각김치,16.4kcal,오이양파장아찌(05)(06),26.12kcal,,,2708.78kcal
2023-07-04,모닝빵(01)(02)(05)(06),409.56kcal,"참외,신선형(참외(78월))",45.6kcal,열무김치,10kcal,,,2708.78kcal
2023-07-04,"우유(백색우유(200ML,연간))(02)",122kcal,,,,,,,2708.78kcal
2023-07-04,"매일유업,썬업사과,200ml",46kcal,,,,,,,2708.78kcal
2023-07-05,떡만둣국(01)(05)(06)(16),425.98kcal,잡곡밥,317.05kcal,밥,300kcal,,,3310.83kcal
2023-07-05,밥,300kcal,들깨수제비국(05)(06)(09),416.67kcal,쇠고기스프,129.47kcal,,,3310.83kcal
2023-07-05,갈비산적,373.1kcal,춘천닭갈비,225.05kcal,고구마치즈돈가스,286.41kcal,,,3310.83kcal
2023-07-05,콩나물무침(05)(06),27.98kcal,감자전(완)(05)(06),201.99kcal,콘슬로우샐러드,91.13kcal,,,3310.83kcal
2023-07-05,가공우유(초코맛)(02),94kcal,열무김치,10kcal,배추김치(다수공급자),20kcal,,,3310.83kcal
2023-07-05,배추김치(다수공급자),20kcal,,,멜론(여름),72kcal,,,3310.83kcal
2023-07-06,김치볶음밥(01)(02),559.35kcal,후리카케밥(01)(05)(06),325.58kcal,현미밥,318.15kcal,,,2700.46kcal
2023-07-06,미소된장국(05),50.74kcal,새우튀김우동(08)(09),397.13kcal,양지수육곰탕(01),282.65kcal,,,2700.46kcal
2023-07-06,햄야채볶음(05)(06)(10),73.7kcal,단무지,14.4kcal,너비아니구이(05)(06)(10)(16),370.7kcal,,,2700.46kcal
2023-07-06,멸치볶음(05)(06),51.07kcal,배추김치(다수공급자),20kcal,오징어젓무침(17),53.59kcal,,,2700.46kcal
2023-07-06,두유,58kcal,,,총각김치,16.4kcal,,,2700.46kcal
2023-07-06,백김치,0kcal,,,커피음료,69kcal,,,2700.46kcal
2023-07-06,"해태에이치티비,갈아만든배,238ml",40kcal,,,,,,,2700.46kcal
2023-07-07,밥,300kcal,밥,300kcal,자장밥(05)(06)(10),724.08kcal,,,3970.09kcal
2023-07-07,쇠고기미역국(05)(06)(16),81.81kcal,버섯된장찌개(05)(09),83.45kcal,중화식계란탕(01)(05)(06),91.3kcal,,,3970.09kcal
2023-07-07,돈육새송이야채볶음(05)(06)(10),302.42kcal,오징어스틱튀김(완),152.91kcal,찹쌀탕수육(05)(06),87.01kcal,,,3970.09kcal
2023-07-07,맛김,5.25kcal,우엉채조림(완),300kcal,배추김치(다수공급자),20kcal,,,3970.09kcal
2023-07-07,메추리알장조림(01),563.59kcal,훈제오리샐러드(11)(12),755.71kcal,,,,,3970.09kcal
2023-07-07,총각김치,16.4kcal,배추김치(다수공급자),20kcal,,,,,3970.09kcal
2023-07-07,"생수(500ML,후식)",0kcal,수박,44.16kcal,,,,,3970.09kcal
2023-07-07,"우유(백색우유(200ML,연간))(02)",122kcal,,,,,,,3970.09kcal
2023-07-08,밥,300kcal,스파게티(02)(05)(06)(10),328.89kcal,밥,300kcal,,,3478.47kcal
2023-07-08,에그맥머핀(01)(02)(05)(06),1267.7kcal,데리야끼닭꼬치(완제품)(02)(05)(06)(15)(16),721.1kcal,사골우거지국(완),1.41kcal,,,3478.47kcal
2023-07-08,크림스프(05)(06),41.85kcal,단호박샐러드(01)(02)(05),106.8kcal,간장돼지불고기(완제품),10.91kcal,,,3478.47kcal
2023-07-08,모듬과일샐러드(12),61.76kcal,모듬피클,46kcal,부추겉절이(05)(06),32.55kcal,,,3478.47kcal
2023-07-08,"우유(백색우유(200ML,연간))(02)",122kcal,탄산음료,117.5kcal,배추김치(다수공급자),20kcal,,,3478.47kcal
2023-07-09,닭죽(15),535.69kcal,밥,300kcal,밥,300kcal,,,3026.60kcal
2023-07-09,동그랑땡(완제품),2.21kcal,얼큰콩나물국(05)(06)(09),66.88kcal,사골순댓국(05)(06)(09)(10)(16),471.44kcal,,,3026.60kcal
2023-07-09,무말랭이무침(완),65kcal,소불고기당면볶음(05)(06)(16),355.69kcal,배추겉절이(05)(06)(09),36.65kcal,,,3026.60kcal
2023-07-09,배추김치(다수공급자),20kcal,쌈무,6kcal,골뱅이소면무침(06),363.84kcal,,,3026.60kcal
2023-07-09,"우유(백색우유(200ML,연간))(02)",122kcal,배추김치(다수공급자),20kcal,깍두기(09),27.2kcal,,,3026.60kcal
2023-07-09,,,,,아이스크림 팩형(02),334kcal,,,3026.60kcal
2023-07-10,밥,300kcal,밥,300kcal,밥,300kcal,,,2874.46kcal
2023-07-10,조랭이떡미역국(05)(06)(16),169.54kcal,광어매운탕,142.25kcal,버섯된장찌개(05)(09),83.45kcal,,,2874.46kcal
2023-07-10,비엔나소시지구이(10),401.1kcal,제육고추장불고기(05)(06)(10),414.19kcal,양파크림치킨(01)(05)(06)(15),207.47kcal,,,2874.46kcal
2023-07-10,맛김,5.25kcal,채소스틱(모듬 선택),45.25kcal,모듬피클,46kcal,,,2874.46kcal
2023-07-10,계란말이,108.95kcal,열무김치,10kcal,양배추샐러드,42.66kcal,,,2874.46kcal
2023-07-10,총각김치,16.4kcal,,,복숭아(천도)(11),75.44kcal,,,2874.46kcal
2023-07-10,"생수(500ML,후식)",0kcal,,,,,,,2874.46kcal
2023-07-10,"코카콜라음료,미닛메이도포도,180ml",84.51kcal,,,,,,,2874.46kcal
2023-07-10,"우유(백색우유(200ML,연간))(02)",122kcal,,,,,,,2874.46kcal
2023-07-11,밥,300kcal,찹쌀밥,340kcal,현미밥,318.15kcal,,,3509.76kcal
2023-07-11,두부맑은국(01)(05)(06)(18),70.46kcal,삼계탕(15),812.46kcal,짬뽕국(일품용)(05)(06)(09)(17)(18),94.85kcal,,,3509.76kcal
2023-07-11,콩나물쇠고기볶음(05)(06)(16),372.52kcal,김치전(05)(06),165.84kcal,순대야채볶음(05)(06)(10),388.79kcal,,,3509.76kcal
2023-07-11,오징어실채무침(05)(06)(17),115.57kcal,오이풋고추된장무침,13.71kcal,지파이(01)(02)(05)(06)(12)(15)(18),286.61kcal,,,3509.76kcal
2023-07-11,배추김치(다수공급자),20kcal,배추김치(다수공급자),20kcal,열무김치,10kcal,,,3509.76kcal
2023-07-11,"우유(백색우유(200ML,연간))(02)",122kcal,이온음료,58.8kcal,,,,,3509.76kcal
2023-07-12,밥,300kcal,잡곡밥,317.05kcal,밥,300kcal,,,2964.90kcal
2023-07-12,물만두국(01)(05)(06)(09),50.4kcal,부대찌개(06)(10)(15)(16),229.68kcal,생선묵국(05)(06),62.12kcal,,,2964.90kcal
2023-07-12,햄김치볶음,89.02kcal,갈치순살튀김,191.14kcal,눈꽃치즈닭갈비(02),631.09kcal,,,2964.90kcal
2023-07-12,김자반,20kcal,맛김,5.25kcal,양념깻잎지무침(05)(06),12kcal,,,2964.90kcal
2023-07-12,돈육장조림(완)(10),500kcal,치커리무침(05)(06),19.55kcal,배추김치(다수공급자),20kcal,,,2964.90kcal
2023-07-12,깍두기(09),27.2kcal,총각김치,16.4kcal,자두(대석),52kcal,,,2964.90kcal
2023-07-12,"우유(백색우유(200ML,연간))(02)",122kcal,,,,,,,2964.90kcal
2023-07-13,소불고기볶음밥(05)(16),526.35kcal,비빔막국수(01)(05)(06),574.96kcal,밥,300kcal,,,3859.17kcal
2023-07-13,유부장국,60.33kcal,돼지고기수육(09)(10),779.95kcal,스팸짜글이(05)(06)(09),85.37kcal,,,3859.17kcal
2023-07-13,멸치볶음(05)(06),51.07kcal,명태회무침,495kcal,구운불고기(완제품)(05)(06)(10),580.91kcal,,,3859.17kcal
2023-07-13,가공우유(딸기)(02)(05),82.5kcal,무말랭이무침(완),65kcal,오이무침,47.22kcal,,,3859.17kcal
2023-07-13,유자드레싱샐러드(12),78.42kcal,백김치,0kcal,배추겉절이(05)(06)(09),36.65kcal,,,3859.17kcal
2023-07-13,배추김치(다수공급자),20kcal,복숭아(천도)(11),75.44kcal,,,,,3859.17kcal
2023-07-14,밥,300kcal,밥,300kcal,흑미밥,311.25kcal,,,2600.94kcal
2023-07-14,사골우거지국(완),1.41kcal,감자된장국(09),47.37kcal,순두부찌개(01)(05)(06)(09)(10)(18),143.58kcal,,,2600.94kcal
2023-07-14,비엔나야채떡조림(05)(06)(10),555.15kcal,낙지새우삼겹살볶음(05)(06)(09)(10),492.66kcal,잡채(05)(06)(10),107.8kcal,,,2600.94kcal
2023-07-14,진미채무침(완)(06)(17),100kcal,양배추쌈(05),27.19kcal,간장찜닭,55.53kcal,,,2600.94kcal
2023-07-14,배추김치(다수공급자),20kcal,열무김치,10kcal,배추김치(다수공급자),20kcal,,,2600.94kcal
