날짜,조식,조식열량,중식,중식열량,석식,석식열량,증특식,증특식열량,열량합계
2023-02-21(화),두부찜(05),88kcal,매콤감자조림(05)(06),74.46kcal,쇠고기계란장조림(3)(01)(05)(06)(16),194.73kcal,,,3124.93kcal
2023-02-21(화),열무김치,12.8kcal,석박지,15.2kcal,일반배추김치(맛김치),7.5kcal,,,3124.93kcal
2023-02-21(화),"우유(백색우유(200ML,연간))(02)",122kcal,초콜렛,219kcal,,,,,3124.93kcal
2023-02-22(수),떡만둣국(01)(16),493.91kcal,찰보리밥,430.9kcal,밥,381.15kcal,,,3524.36kcal
2023-02-22(수),밥,381.15kcal,된장국(일품용)(05)(06),49.41kcal,국물떡볶이(01)(05)(06),317.92kcal,,,3524.36kcal
2023-02-22(수),호박쇠고기볶음(05)(06)(16),141.56kcal,돼지파채불고기(05)(06),423.73kcal,팝콘형치킨너겟(01)(06)(12),341.26kcal,,,3524.36kcal
2023-02-22(수),명이나물절임(05)(06),90kcal,고구마튀김(06),194.74kcal,순대,0kcal,,,3524.36kcal
2023-02-22(수),배추김치(12~2월),10kcal,양배추/풋고추쌈(05)(06),44.33kcal,열무김치,12.8kcal,,,3524.36kcal
2023-02-22(수),"우유(백색우유(200ML,연간))(02)",122kcal,일반배추김치(맛김치),7.5kcal,,,,,3524.36kcal
2023-02-22(수),,,식혜,82kcal,,,,,3524.36kcal
2023-02-23(목),달걀케첩볶음밥(01)(12),495.5kcal,밥,381.15kcal,콩나물밥(05)(06),406.73kcal,,,2763.50kcal
2023-02-23(목),북어채국(01),72.72kcal,꼬지어묵우동(01)(06),220.66kcal,데리야끼소시지떡볶음(05)(12),255.36kcal,,,2763.50kcal
2023-02-23(목),두부김치(05)(06)(10),183.39kcal,새우튀김(01),109.01kcal,치즈볼(02)(06)(12),223.11kcal,,,2763.50kcal
2023-02-23(목),찐만두(05)(06),229.15kcal,오이파프리카무침,29.22kcal,일반배추김치(맛김치),7.5kcal,,,2763.50kcal
2023-02-23(목),열무김치,12.8kcal,석박지,15.2kcal,,,,,2763.50kcal
2023-02-23(목),"우유(백색우유(200ML,연간))(02)",122kcal,,,,,,,2763.50kcal
2023-02-24(금),밥,381.15kcal,잡채밥(05)(06),553.09kcal,밥,381.15kcal,,,2835.69kcal
2023-02-24(금),닭고기무국(15),79.07kcal,짬뽕찌개(06)(09)(16)(17)(18),484.7kcal,새우순두부계란탕(01)(05)(09),105.55kcal,,,2835.69kcal
2023-02-24(금),베이컨떡말이,23.95kcal,찹쌀탕수육,254.91kcal,눈꽃치즈로제돈가스(02)(05)(06)(10)(12),303.01kcal,,,2835.69kcal
2023-02-24(금),무말랭이무침(완),36.54kcal,단무지,9kcal,치커리사과무침(05)(06),36.77kcal,,,2835.69kcal
2023-02-24(금),일반배추김치(맛김치),7.5kcal,일반배추김치(맛김치),7.5kcal,깍두기(완제품)(09),11.4kcal,,,2835.69kcal
2023-02-24(금),"우유(백색우유(200ML,연간))(02)",122kcal,짜먹는요구르트(02),38.4kcal,,,,,2835.69kcal
2023-02-25(토),햄치즈버거(01)(02)(05)(06)(10)(12),384.13kcal,언양식불고기덮밥(05)(06)(10)(18),731.75kcal,밥,381.15kcal,,,2759.88kcal
2023-02-25(토),씨리얼우유,75.76kcal,양파계란볶음(01),74.59kcal,쇠고기달래된장찌개(05)(06)(16),87.16kcal,,,2759.88kcal
2023-02-25(토),해시브라운(12),331.35kcal,닭가슴살샐러드(13)(15),89.25kcal,해물파전(완),180kcal,,,2759.88kcal
