날짜,조식,조식열량,중식,중식열량,석식,석식열량,증특식,증특식열량,열량합계
2021-07-29,돼지고기부추볶음(05)(06)(10),298.84kcal,닭튀김&청양마요소스(01)(06)(15),717.52kcal,비엔나데리야끼소스볶음(05)(06)(10),303.45kcal,,,3244.30kcal
2021-07-29,토마토스크램블에그(01)(12),129.56kcal,삼색초나물,36.12kcal,콩나물게맛살냉채(01)(05),63.29kcal,,,3244.30kcal
2021-07-29,배추김치(7~9월),11.25kcal,오이소박이,20.35kcal,배추김치(7~9월),11.25kcal,,,3244.30kcal
2021-07-29,우유(백색우유(200ML,122kcal,자두(78월),33.8kcal,과일푸딩,126kcal,,,3244.30kcal
2021-07-30,밥,363kcal,밥,363kcal,밀쌀밥,363.83kcal,,,3342.61kcal
2021-07-30,꼬리곰탕,551.75kcal,어묵김칫국(05)(06),52.83kcal,감자튀김(12),345.91kcal,,,3342.61kcal
2021-07-30,골뱅이오징어채볶음(06)(17),135.97kcal,달콤돼지고기볶음(05)(06)(10),306kcal,맛김,0kcal,,,3342.61kcal
2021-07-30,오이부추무침,22.39kcal,모듬쌈(05)(06),57.06kcal,갈비폭찹(01)(10)(12),429.62kcal,,,3342.61kcal
2021-07-30,배추김치(7~9월),11.25kcal,총각김치,16.4kcal,깻잎양념무침(05)(06),46.87kcal,,,3342.61kcal
2021-07-30,우유(백색우유(200ML,122kcal,신선형(찰옥수수(79월)),105.08kcal,배추김치(7~9월),11.25kcal,,,3342.61kcal
2021-07-30,,,,,짜먹는요구르트(02),38.4kcal,,,3342.61kcal
2021-07-31,,,라면(즉석 컵)(06),365kcal,,,,,3342.61kcal
2021-08-01,쇠고기야채덮밥(05)(06)(16),720.15kcal,밥,363kcal,밥,363kcal,,,2708.60kcal
2021-08-01,생선묵찌개(05)(06),88.37kcal,버섯매운탕(05)(06)(16),61.43kcal,닭곰탕(05)(15),147.8kcal,,,2708.60kcal
2021-08-01,부추겉절이(05)(06),29.49kcal,돈육야채볶음(05)(06)(10),296.97kcal,마파두부(05)(06),219.14kcal,,,2708.60kcal
2021-08-01,배추김치(7~9월),8.75kcal,계란찜(01)(09),87.76kcal,조미김,0kcal,,,2708.60kcal
2021-08-01,우유(백색우유(200ML,122kcal,배추김치(7~9월),8.75kcal,감자매운조림(05)(06),71.45kcal,,,2708.60kcal
2021-08-01,,,수박,52.992kcal,배추김치(7~9월),8.75kcal,,,2708.60kcal
2021-08-01,,,,,이온음료,58.8kcal,,,2708.60kcal
2021-08-02,밥,363kcal,잡곡밥,391.54kcal,밥,363kcal,,,2708.49kcal
2021-08-02,쇠고기미역국(05)(16),23.53kcal,콩나물김치국(05),22.06kcal,두부고추장찌개(05)(06)(10),120.41kcal,,,2708.49kcal
2021-08-02,햄감자볶음(05)(06)(10),168.52kcal,오리고추장주물럭(05)(06),302.93kcal,돈가스(06)(10),645.02kcal,,,2708.49kcal
2021-08-02,오이양파무침(05)(06),38.19kcal,모듬쌈(05)(06),45.26kcal,방울토마토샐러드(01)(12),76.78kcal,,,2708.49kcal
2021-08-02,배추김치(7~9월),8.75kcal,배추김치(7~9월),8.75kcal,배추김치(7~9월),8.75kcal,,,2708.49kcal
2021-08-02,우유(백색우유(200ML,122kcal,,,과채주스,8.75kcal,,,2708.49kcal
2021-08-03,밥,363kcal,물냉면(03)(06)(12),908.84kcal,현미밥,384.78kcal,,,3482.47kcal
2021-08-03,해물순두부찌개(01)(05)(09)(10)(17)(18),115.7kcal,삶은계란(01),70.38kcal,돼지고기김치찌개(10),157.35kcal,,,3482.47kcal
