날짜,조식,조식열량,중식,중식열량,석식,석식열량,증특식,증특식열량,열량합계
2023-07-27(목),감자된장국,46.08kcal,치즈돈가스&소스,207.1kcal,쇠고기전골,78.88kcal,,,2060.38kcal
2023-07-27(목),돈육간장불고기,277.07kcal,모듬과일샐러드,38.55kcal,닭볶음탕,167.81kcal,,,2060.38kcal
2023-07-27(목),매콤두부조림,119.69kcal,닭가슴살샐러드,43.41kcal,양념깻잎,15kcal,,,2060.38kcal
2023-07-27(목),깍두기,0kcal,양송이스프,72.29kcal,총각김치,0kcal,,,2060.38kcal
2023-07-27(목),우유),122kcal,배추김치,0kcal,,,,,2060.38kcal
2023-07-27(목),,,사이다,97.5kcal,,,,,2060.38kcal
2023-07-28(금),밥,300kcal,밥,300kcal,잡곡밥,330.02kcal,,,4240.82kcal
2023-07-28(금),팽이버섯된장국,52.03kcal,꼬리곰탕,1.95kcal,부대찌개,372.76kcal,,,4240.82kcal
2023-07-28(금),칼집비엔나소시지볶음,433.44kcal,닭강정,899.59kcal,두부김치,318.36kcal,,,4240.82kcal
2023-07-28(금),게맛살어묵볶음,140.29kcal,메밀전병,307.7kcal,동부묵김가루무침,26.96kcal,,,4240.82kcal
2023-07-28(금),초코머핀,296kcal,오이부추무침,30.72kcal,열무김치,0kcal,,,4240.82kcal
2023-07-28(금),배추김치,0kcal,배추김치,0kcal,,,,,4240.82kcal
2023-07-28(금),"매일유업 가공우유, 유기농바나나우유 125ML",97kcal,아이스크림 팩형,334kcal,,,,,4240.82kcal
2023-07-29(토),전복죽,329kcal,잡곡밥,330.02kcal,밥,300kcal,,,2900.54kcal
2023-07-29(토),와플&메이플시럽,244.2kcal,차돌박이된장찌개,81.94kcal,육개장,124.29kcal,,,2900.54kcal
2023-07-29(토),돈육메추리알조림,308kcal,닭봉오븐구이,675.06kcal,오삼불고기,271.92kcal,,,2900.54kcal
2023-07-29(토),낙지젓무침,47.39kcal,감자매운조림,58.96kcal,양배추쌈&쌈장,7.76kcal,,,2900.54kcal
2023-07-29(토),배추김치,0kcal,배추김치,0kcal,깍두기,0kcal,,,2900.54kcal
2023-07-29(토),우유),122kcal,,,,,,,2900.54kcal
2023-07-30(일),밥,300kcal,잡곡밥,330.02kcal,밥,300kcal,,,2734.57kcal
2023-07-30(일),계란파국,112.49kcal,들깨시래기된장국,47.46kcal,호박된장찌개,50.19kcal,,,2734.57kcal
2023-07-30(일),진미채볶음,125kcal,치즈닭갈비,163.95kcal,찹스테이크,316.44kcal,,,2734.57kcal
2023-07-30(일),오리간장주물럭,560.18kcal,계란찜,166.69kcal,고구마샐러드,111.05kcal,,,2734.57kcal
2023-07-30(일),열무김치,0kcal,깍두기,0kcal,어린잎채소샐러드,54.1kcal,,,2734.57kcal
2023-07-30(일),"매일유업 가공우유, 유기농딸기우유 125ML",97kcal,,,배추김치,0kcal,,,2734.57kcal
2023-07-31(월),밥,300kcal,볶음밥자장소스,759.14kcal,밥,300kcal,,,2898.36kcal
2023-07-31(월),콩나물국,18.18kcal,짬뽕수제비국,169.35kcal,두부찌개,108.86kcal,,,2898.36kcal
2023-07-31(월),돈육김치볶음,65.24kcal,고추잡채,275.56kcal,훈제족발&새우젓,393.92kcal,,,2898.36kcal
2023-07-31(월),햄감자채볶음,108.12kcal,게맛살냉채,245.03kcal,부추겉절이,27.69kcal,,,2898.36kcal
2023-07-31(월),깍두기,0kcal,배추김치,0kcal,상추깻잎쌈&쌈장,5.27kcal,,,2898.36kcal
2023-07-31(월),우유),122kcal,,,총각김치,0kcal,,,2898.36kcal
2023-08-01(화),밥,250kcal,떡국,181.6kcal,밥,250kcal,,,2654.79kcal
2023-08-01(화),맑은황태채국,62.95kcal,밥,250kcal,부대찌개,244.51kcal,,,2654.79kcal
2023-08-01(화),돈육굴소스양배추볶음,313.06kcal,순대야채볶음,297.23kcal,닭볶음탕,167.95kcal,,,2654.79kcal
2023-08-01(화),계란말이,124.1kcal,치킨가스&소스,184.5kcal,연근조림,34.88kcal,,,2654.79kcal
2023-08-01(화),배추김치,0kcal,배추김치,0kcal,설탕토마토,51.17kcal,,,2654.79kcal
2023-08-01(화),우유),122kcal,"옥수수,신선형)",120.842kcal,깍두기,0kcal,,,2654.79kcal
2023-08-02(수),밥,250kcal,밥,250kcal,카레밥,327.07kcal,,,2662.08kcal
2023-08-02(수),순두부찌개,179.1kcal,감자된장국,41.89kcal,미소장국,29.22kcal,,,2662.08kcal
2023-08-02(수),멸치아몬드볶음,96.96kcal,삼겹살구이,476kcal,새우튀김,557.6kcal,,,2662.08kcal
2023-08-02(수),칼집비엔나소시지볶음,78.64kcal,오이풋고추된장무침,14.69kcal,오이부추무침,23.91kcal,,,2662.08kcal
2023-08-02(수),롤케익,244kcal,명이나물절임,10.5kcal,배추김치,0kcal,,,2662.08kcal
2023-08-02(수),배추김치,0kcal,배추김치,0kcal,,,,,2662.08kcal
2023-08-02(수),"가공우유,남양유업,우유듬뿍딸기에몽,200mL",82.5kcal,,,,,,,2662.08kcal
2023-08-03(목),밥,250kcal,잡곡밥,280.02kcal,밥,250kcal,,,3111.77kcal
2023-08-03(목),감자계란국,64.76kcal,등뼈감자탕,395.94kcal,나가사끼짬뽕국,229.93kcal,,,3111.77kcal
2023-08-03(목),햄감자채볶음,109.72kcal,치즈롤까스,288kcal,애호박버섯볶음,30.68kcal,,,3111.77kcal
2023-08-03(목),쇠고기청경채볶음,166.12kcal,고사리나물,53.51kcal,치즈닭갈비,772.48kcal,,,3111.77kcal
2023-08-03(목),배추김치,0kcal,모듬과일샐러드,54.45kcal,배추김치,0kcal,,,3111.77kcal
2023-08-03(목),우유),122kcal,배추김치,0kcal,수박,44.16kcal,,,3111.77kcal
2023-08-04(금),밥,250kcal,김가루밥,419.4kcal,잡곡밥,280.02kcal,,,2830.77kcal
2023-08-04(금),콩나물국,18.18kcal,도토리묵냉국,44.2kcal,감자수제비국,122.43kcal,,,2830.77kcal
2023-08-04(금),스팸구이,340kcal,순살불족발,218.61kcal,안동찜닭,386.49kcal,,,2830.77kcal
2023-08-04(금),계란후라이,88.2kcal,양배추샐러드,18.72kcal,고구마맛탕,348.8kcal,,,2830.77kcal
2023-08-04(금),미역줄기무침,6.88kcal,무쌈,4kcal,배추김치,0kcal,,,2830.77kcal
2023-08-04(금),배추김치,0kcal,옥수수버터구이,154.64kcal,복숭아,34.2kcal,,,2830.77kcal
2023-08-04(금),"요구르트,떠먹는형",96kcal,배추김치,0kcal,,,,,2830.77kcal
2023-08-05(토),밥,250kcal,훈제닭다리,495kcal,밥,250kcal,,,2634.84kcal
2023-08-05(토),쇠고기미역국,57.73kcal,불고기브리또,187.64kcal,쇠고기전골,106.77kcal,,,2634.84kcal
2023-08-05(토),돈육제육볶음,33.29kcal,카스테라,90.4kcal,지코바순살치킨,381.83kcal,,,2634.84kcal
2023-08-05(토),계란찜,142.04kcal,푸실리샐러드,220.05kcal,도토리묵&양념장,27.39kcal,,,2634.84kcal
2023-08-05(토),배추김치,0kcal,파인애플,2kcal,배추김치,0kcal,,,2634.84kcal
2023-08-05(토),우유),122kcal,시리얼,151.2kcal,,,,,2634.84kcal
2023-08-05(토),,,콜라,117.5kcal,,,,,2634.84kcal
2023-08-06(일),밥,250kcal,잡곡밥,280.02kcal,밥,250kcal,,,2949.04kcal
2023-08-06(일),차돌박이된장찌개,73.32kcal,얼큰순댓국,225.18kcal,두부찌개,37.41kcal,,,2949.04kcal
2023-08-06(일),참치김치볶음,109.58kcal,낙지젓무침,32.89kcal,진미채볶음,125kcal,,,2949.04kcal
2023-08-06(일),동그랑땡&케첩,417.1kcal,편육새우젓,178.16kcal,돼지갈비찜,802.88kcal,,,2949.04kcal
2023-08-06(일),깍두기,0kcal,부추겉절이,29.63kcal,배추김치,0kcal,,,2949.04kcal
2023-08-06(일),우유),122kcal,배추김치,0kcal,,,,,2949.04kcal
2023-08-06(일),,,"포도,신선형)",15.87kcal,,,,,2949.04kcal
2023-08-07(월),밥,250kcal,밥,250kcal,밥,250kcal,,,2398.04kcal
2023-08-07(월),쇠고기장터국,35.33kcal,모닝빵&딸기잼,96.25kcal,오징어무국,85.41kcal,,,2398.04kcal
2023-08-07(월),무청시래기볶음,79.85kcal,치즈돈가스&소스,233.4kcal,사각어묵볶음,50.59kcal,,,2398.04kcal
2023-08-07(월),돈육간장불고기,278.36kcal,어린잎채소샐러드,39.44kcal,미트볼케찹조림,375.91kcal,,,2398.04kcal
2023-08-07(월),배추김치,0kcal,양송이스프,71.5kcal,배추김치,0kcal,,,2398.04kcal
2023-08-07(월),우유),122kcal,배추김치,0kcal,,,,,2398.04kcal
2023-08-07(월),,,"아이스크림, 떠먹는형",180kcal,,,,,2398.04kcal
2023-08-08(화),밥,250kcal,곤드레나물밥&양념장,287.58kcal,잡곡밥,280.02kcal,,,3077.56kcal
2023-08-08(화),얼큰콩나물국,24.46kcal,버섯감자찌개,36.48kcal,아욱된장국,17.3kcal,,,3077.56kcal
2023-08-08(화),대패삼겹살볶음,496.75kcal,제육볶음,307.2kcal,두부김치,280kcal,,,3077.56kcal
2023-08-08(화),양념깻잎,9kcal,고등어카레구이,332.2kcal,메밀전병,546kcal,,,3077.56kcal
2023-08-08(화),배추김치,0kcal,맛살오이샐러드,44.41kcal,열무김치,0kcal,,,3077.56kcal
2023-08-08(화),우유),122kcal,배추김치,0kcal,수박,44.16kcal,,,3077.56kcal
2023-08-09(수),밥,250kcal,해물덮밥,502.1kcal,밥,250kcal,,,2818.11kcal
2023-08-09(수),맑은쇠고기무국,62.73kcal,게맛살계란국,70.24kcal,부대찌개,244.51kcal,,,2818.11kcal
2023-08-09(수),쇠고기불고기,222.41kcal,꿔바로우,100.5kcal,잡채,0kcal,,,2818.11kcal
2023-07-13(목),배추김치,0kcal,총각김치,0kcal,,,,,2694.25kcal
2023-07-13(목),,,블루베리,28.05kcal,,,,,2694.25kcal
2023-07-14(금),밥,300kcal,제육덮밥,394.74kcal,밥,300kcal,,,2631.62kcal
2023-07-14(금),쇠고기미역국,42.54kcal,누룽지탕,52.2kcal,육개장,124.29kcal,,,2631.62kcal
2023-07-14(금),쇠고기청경채볶음,180.12kcal,깐쇼새우,357kcal,감자버터구이,46.44kcal,,,2631.62kcal
2023-07-14(금),멸치아몬드볶음,102.36kcal,에그샐러드,200kcal,미트볼케찹조림,357.31kcal,,,2631.62kcal
2023-07-14(금),배추김치,0kcal,배추김치,0kcal,도토리묵&양념장,22.62kcal,,,2631.62kcal
2023-07-14(금),우유),122kcal,단무지,7.2kcal,배추김치,0kcal,,,2631.62kcal
2023-07-14(금),,,"참외,신선형)",22.8kcal,,,,,2631.62kcal
2023-07-15(토),닭죽,0kcal,밥,300kcal,밥,300kcal,,,2577.10kcal
2023-07-15(토),쇠고기장조림,138.07kcal,나가사끼짬뽕국,199.34kcal,쇠고기장터국,32.03kcal,,,2577.10kcal
2023-07-15(토),오징어젓무침,47.93kcal,대패삼겹살볶음,494.48kcal,훈제닭다리,344.1kcal,,,2577.10kcal
2023-07-15(토),프렌치토스트,265.03kcal,명이나물절임,10.5kcal,조기구이,279.46kcal,,,2577.10kcal
2023-07-15(토),배추김치,0kcal,열무김치,0kcal,깍두기,0kcal,,,2577.10kcal
