날짜,조식,조식열량,중식,중식열량,석식,석식열량,증특식,증특식열량,열량합계
2023-12-04(월),미역국(05)(06),14.27kcal,곱창전골(완)(10),674.56kcal,김치찌개(05)(06)(09)(10),286.53kcal,"우유(백색우유(200ML,연간))(02)",130kcal,3431.43kcal
2023-12-04(월),돈육메추리알장조림(01)(10),405.52kcal,치킨스테이크(05)(12)(15),414kcal,언양식불고기(05)(06)(10),298.5kcal,,,3431.43kcal
2023-12-04(월),오이무침,16.79kcal,시금치무침(05)(06),25.35kcal,까르보나라떡볶이(02)(05)(06)(10),281.14kcal,,,3431.43kcal
2023-12-04(월),브리또,0kcal,깍두기(완제품)(09),13.3kcal,배추김치,0kcal,,,3431.43kcal
2023-12-04(월),배추김치,0kcal,,,,,,,3431.43kcal
2023-12-05(화),밥1,250kcal,돈코츠라멘(01)(05)(06)(10),948.81kcal,영양밥,271.52kcal,감귤,57.564kcal,3375.20kcal
2023-12-05(화),황태채무국,42.31kcal,새우튀김(05),264.75kcal,아귀탕,60.98kcal,"우유(백색우유(200ML,연간))(02)",130kcal,3375.20kcal
2023-12-05(화),햄감자볶음(05)(10),158.46kcal,김치전병(완)(02)(05)(06)(10)(16)(18),144.9kcal,쇠고기버섯볶음(05)(16)(18),142.45kcal,,,3375.20kcal
2023-12-05(화),두부조림,92.51kcal,크로와상(01)(02)(05)(06),664kcal,시금치무침(05)(06),25.35kcal,,,3375.20kcal
2023-12-05(화),모닝빵(2)(01)(02)(06),95kcal,깍두기(완제품)(09),13.3kcal,깍두기(완제품)(09),13.3kcal,,,3375.20kcal
2023-12-05(화),배추김치,0kcal,,,,,,,3375.20kcal
2023-12-06(수),영양밥,271.52kcal,밥1,250kcal,김치덮밥(05)(10),780.56kcal,"코주부씨앤에프,코주부오레오떡,1kg",,5174.49kcal
2023-12-06(수),무두부조개탕(18),115.09kcal,유부된장국(05),55.78kcal,순두부찌개(01)(09)(10)(17)(18),144.31kcal,"가공우유,남양유업,우유듬뿍커피에몽,200mL",122kcal,5174.49kcal
2023-12-06(수),견과류멸치볶음(05),1438.87kcal,오리불고기(05),302.67kcal,어니언치킨까스(05)(06)(15),1021.51kcal,,,5174.49kcal
2023-12-06(수),베이컨구이(05)(10),305.1kcal,골뱅이무침(05)(06),60.35kcal,깍두기(완제품)(09),13.3kcal,,,5174.49kcal
