날짜,조식,조식열량,중식,중식열량,석식,석식열량,증특식,증특식열량,열량합계
2024-10-31(목),황태해장국(01)(05)(06),56.28kcal,사골설렁탕(완)(16),184.56kcal,배추된장국(05)(06)(16),75.53kcal,,,3068.62kcal
2024-10-31(목),돈육고추장볶음(05)(06)(10),312.74kcal,볼어묵볶음(05)(06)(08)(09),85.9kcal,순대곱창볶음(05)(06)(10)(16),289.62kcal,,,3068.62kcal
2024-10-31(목),연근땅콩조림(04)(05)(06),35.81kcal,파인애플함박스테이크(05)(10),597.6kcal,계란찜(01)(05)(09),117.67kcal,,,3068.62kcal
2024-10-31(목),가지무침(05)(06),14.88kcal,양념고추지,37.2kcal,쌈무,25kcal,,,3068.62kcal
2024-10-31(목),가공우유(커피맛)(02),90kcal,석박지,22.8kcal,배추김치(수의),12kcal,,,3068.62kcal
2024-10-31(목),배추김치(수의),12kcal,배(신고),34.03kcal,,,,,3068.62kcal
2024-10-17(목),가공우유(초코맛)(02),194kcal,단무지,7.2kcal,오이피클(05)(06),70kcal,,,3254.73kcal
2024-10-17(목),배추김치(수의),12kcal,배추김치(수의),12kcal,깍두기(수의)(09),15.2kcal,,,3254.73kcal
2024-10-18(금),밥,355kcal,카레밥,513.4kcal,스팸김치덮밥(05)(10)(13),777.72kcal,,,3528.02kcal
2024-10-18(금),얼큰콩나물국(05),30.14kcal,감자짜글이(05)(06)(10)(13)(16),152.71kcal,쇠고기감자국(05)(06)(09)(16),66.67kcal,,,3528.02kcal
2024-10-18(금),돈육고추장볶음(05)(06)(10),312.74kcal,고구마치즈돈가스(05),670kcal,스크램블에그(01)(05),150.13kcal,,,3528.02kcal
2024-10-18(금),햄슬라이스야채볶음(05)(06)(10),157.91kcal,만다린샐러드(05),61.3kcal,닭순살샐러드(15),148.1kcal,,,3528.02kcal
2024-10-18(금),배추김치(수의),12kcal,깍두기(수의)(09),15.2kcal,총각김치,0kcal,,,3528.02kcal
2024-10-18(금),우유(02),65kcal,"해태에이치티비,갈아만든배,238ml",40kcal,,,,,3528.02kcal
2024-10-19(토),와플&초코잼(01)(02)(05)(06),273.6kcal,주먹밥(불고기맛)(05)(06)(10)(16),195kcal,밥,355kcal,,,3114.72kcal
2024-10-19(토),팝콘치킨소스(05),637.8kcal,우동국물(05),61.41kcal,병천순대국밥(06)(09)(10),346.54kcal,,,3114.72kcal
2024-10-19(토),단호박샐러드(완)(01)(02)(05),78kcal,골뱅이소면무침(05)(06),306.3kcal,해물파전(완)(05),585kcal,,,3114.72kcal
2024-10-19(토),우유(02),65kcal,구운계란,0kcal,양념고추지,37.2kcal,,,3114.72kcal
2024-10-19(토),,,배추김치(수의),12kcal,깍두기(수의)(09),15.2kcal,,,3114.72kcal
2024-10-19(토),,,오렌지주스(오렌지나무),46.67kcal,떠먹는 발효유,100kcal,,,3114.72kcal
2024-10-20(일),밥,355kcal,불닭덮밥(02)(05)(06)(15),616.97kcal,밥,355kcal,,,3165.73kcal
2024-10-20(일),가리비미역국(05)(06)(16)(18),15.67kcal,다시마무국(05)(06)(16),20.06kcal,유부된장국(05)(06),34.19kcal,,,3165.73kcal
2024-10-20(일),돼지간장불고기(05)(06)(10),242.07kcal,왕새우튀김(01)(05)(09),350.9kcal,물만두(05)(06)(10),267.28kcal,,,3165.73kcal
2024-10-20(일),연두부양념장(05)(06),63.77kcal,꼬들단무지무침(13),18.45kcal,바베큐폭립(브런치)(05)(06)(10)(16),695kcal,,,3165.73kcal
2024-10-20(일),배추김치(수의),12kcal,배추김치(수의),12kcal,콩나물무침(05)(06),30.37kcal,,,3165.73kcal
2024-10-20(일),우유(02),65kcal,에너지 음료,,배추김치(수의),12kcal,,,3165.73kcal
2024-10-21(월),밥,355kcal,잡곡밥,387.65kcal,밥,355kcal,,,3195.60kcal
2024-10-21(월),양지수육곰탕(완)(01)(05)(10)(16),321.6kcal,감자탕(05)(06)(10),457.62kcal,홍합탕(18),27.04kcal,,,3195.60kcal
2024-10-21(월),비엔나소시지케찹볶음(05)(10),312.6kcal,잡채(05)(10),235.15kcal,돼지고기김치볶음(05)(10),276.98kcal,,,3195.60kcal
2024-10-21(월),양념깻잎지무침(05)(06),30kcal,순살삼치구이(05)(06),196kcal,감자조림(05)(06),87.21kcal,,,3195.60kcal
2024-10-21(월),깍두기(수의)(09),15.2kcal,배추김치(수의),12kcal,가지무침(05)(06),14.88kcal,,,3195.60kcal
2024-10-21(월),우유(02),65kcal,오렌지주스(오렌지나무),46.67kcal,총각김치,0kcal,,,3195.60kcal
2024-10-22(화),밥,355kcal,검은콩밥,388.04kcal,밥,355kcal,,,3512.38kcal
2024-10-22(화),돼지고기고추장찌개(05)(06)(10)(16),109.73kcal,배추된장국(05)(06)(16),75.53kcal,돼지국밥(완)(09),376.48kcal,,,3512.38kcal
2024-10-22(화),토마토달걀볶음(01)(05)(12),196.91kcal,오리불고기(05)(06),324.69kcal,뿌링클치킨(01)(02)(04)(05)(06)(15),635kcal,,,3512.38kcal
2024-10-22(화),맛김,5.25kcal,순대부추찜(10),232.03kcal,양파부추겉절이(05)(06),10.42kcal,,,3512.38kcal
2024-10-22(화),쇠고기장조림(완)(05)(16),215kcal,궁채장아찌(완),0kcal,석박지,22.8kcal,,,3512.38kcal
2024-10-22(화),가공우유(바나나맛)(02),82.5kcal,총각김치,0kcal,과일푸딩,116kcal,,,3512.38kcal
2024-10-22(화),배추김치(수의),12kcal,,,,,,,3512.38kcal
2024-10-23(수),모닝빵&크로와상(01)(02)(05)(06),415.32kcal,곤드레밥&양념장(05)(06),374.31kcal,밥,355kcal,,,3030.05kcal
2024-10-23(수),야채샐러드,93.71kcal,호박된장찌개(05)(06)(09)(16),91.75kcal,얼큰콩나물국(05),30.14kcal,,,3030.05kcal
2024-10-23(수),닭가슴살비엔나소시지구이(05),101.5kcal,가자미순살강정(05)(06),490.2kcal,햄슬라이스야채볶음(05)(06)(10),157.91kcal,,,3030.05kcal
2024-10-23(수),우유(02),65kcal,맛김,5.25kcal,분모자로제찜닭(06)(10)(15),504.03kcal,,,3030.05kcal
2024-10-23(수),콜라,117.5kcal,오이양파무침(05)(06),14.43kcal,배추김치(수의),12kcal,,,3030.05kcal
2024-10-23(수),,,배추김치(수의),12kcal,,,,,3030.05kcal
2024-10-23(수),,,식혜,190kcal,,,,,3030.05kcal
2024-10-24(목),밥,355kcal,해물볶음우동(05)(06)(09)(17)(18),603.6kcal,밥,355kcal,,,3209.77kcal
2024-10-24(목),새우순두부계란탕(01)(05)(09),96.67kcal,김가루밥,364.19kcal,쇠고기미역국(05)(06)(16),50.09kcal,,,3209.77kcal
2024-10-24(목),멸치볶음(05),83.04kcal,우동국물(05),61.41kcal,감자채피망볶음(05),73.61kcal,,,3209.77kcal
2024-10-24(목),소불고기버섯볶음(05)(06)(16),226.57kcal,치즈롤까스(02)(05)(06)(10),545kcal,대구찜(05)(06)(17)(18),71.09kcal,,,3209.77kcal
2024-10-24(목),가공우유(딸기맛)(02)(05),282.5kcal,무&비트피클(완),18kcal,배추김치(수의),12kcal,,,3209.77kcal
2024-10-24(목),총각김치,0kcal,배추김치(수의),12kcal,,,,,3209.77kcal
2024-10-25(금),스팸마요덮밥(01)(05)(10)(13),843.21kcal,흑미밥,373.75kcal,밥,355kcal,,,4103.13kcal
2024-10-25(금),콩나물김치국(05),27.53kcal,얼큰어묵국(05)(06),65.98kcal,호박고추장찌개(05)(06)(09)(16),40.97kcal,,,4103.13kcal
2024-10-25(금),동그랑땡&케첩(01)(05)(06)(10),285.5kcal,삼겹모듬캠핑구이(10),739.18kcal,해쉬브라운(05),241.66kcal,,,4103.13kcal
2024-10-25(금),김자반,35.36kcal,모듬쌈,8.36kcal,크림청양함박스테이크(02)(05)(10),549.36kcal,,,4103.13kcal
2024-10-25(금),볶음김치,0kcal,파채콩나물무침(05)(16),30.85kcal,황도샐러드(02)(11),182.27kcal,,,4103.13kcal
2024-10-25(금),매일두유 초콜릿 190ml,250kcal,보쌈김치(09),48.55kcal,배추김치(수의),12kcal,,,4103.13kcal
2024-10-25(금),,,대추방울토마토(12),13.6kcal,,,,,4103.13kcal
2024-10-26(토),케이준감자튀김(05),371.3kcal,낙지볶음밥(완)(02)(05)(06)(08)(09)(16),385kcal,명란마요덮밥(01)(05)(06),628.36kcal,,,4078.95kcal
2024-10-26(토),프로틴바,0kcal,파송송계란국(01)(05)(06)(16),59.72kcal,쇠고기무국(05)(06)(16),54.09kcal,,,4078.95kcal
2024-10-26(토),팬케이크(01)(02)(06),730.2kcal,바베큐치킨스테이크(05)(06)(15),400kcal,누들떡볶이(05)(06)(10),304.48kcal,,,4078.95kcal
2024-10-26(토),우유(02),65kcal,콘샐러드(완)(01)(05),175kcal,야채고로케(02)(05)(06)(10),443kcal,,,4078.95kcal
2024-10-26(토),,,배추김치(수의),12kcal,배추김치(수의),12kcal,,,4078.95kcal
2024-10-26(토),,,사이다,350kcal,이온음료,88.8kcal,,,4078.95kcal
2024-10-27(일),밥,355kcal,밥,355kcal,밥,355kcal,,,3006.85kcal
2024-10-27(일),사골우거지국(완)(02)(05)(06)(16)(18),186.44kcal,샤브샤브국(05)(06)(16),68.71kcal,다시마무국(05)(06)(16),20.06kcal,,,3006.85kcal
2024-10-27(일),꽈리고추메추리알장조림(01)(05)(06),173.44kcal,닭갈비(05)(06)(15),260.05kcal,고추잡채&꽃빵(05)(06)(10)(18),511.12kcal,,,3006.85kcal
2024-10-27(일),오이부추무침(05)(06),13.54kcal,김치전(05)(06),405kcal,짜장소스(05)(06)(10),99kcal,,,3006.85kcal
2024-10-27(일),깍두기(수의)(09),15.2kcal,미나리초무침,13.29kcal,단무지,7.2kcal,,,3006.85kcal
2024-10-27(일),우유(02),65kcal,백김치(09),16.8kcal,배추김치(수의),12kcal,,,3006.85kcal
2024-10-27(일),,,,,청포도주스(피크닉),75kcal,,,3006.85kcal
2024-10-28(월),밥,355kcal,밥,355kcal,밥,355kcal,,,3953.81kcal
2024-10-28(월),얼큰쇠고기무국(05)(06)(16),62.25kcal,사골떡만둣국(01)(05)(06)(10),524.79kcal,쑥갓어묵국(05)(06),65.86kcal,,,3953.81kcal
2024-10-28(월),두부김치(05)(06)(10),248.29kcal,베이컨감자채볶음(05),133.16kcal,흑돼지돈가스(01)(05)(06)(10)(12)(16)(18),727.5kcal,,,3953.81kcal
2024-10-28(월),데리야끼산적조림(02)(05)(06)(10)(12)(15)(16),307.23kcal,갑오징어야채무침(05)(06)(17),261.31kcal,오이피클(05)(06),70kcal,,,3953.81kcal
2024-10-28(월),깍두기(수의)(09),15.2kcal,배추김치(수의),12kcal,까르보나라감자뇨끼(02)(05),338.39kcal,,,3953.81kcal
2024-10-28(월),우유(02),65kcal,사과(후지),42.63kcal,깍두기(수의)(09),15.2kcal,,,3953.81kcal
2024-10-29(화),밥,355kcal,돈코츠라멘차슈(10),583.74kcal,주꾸미볶음밥,370.12kcal,,,3282.57kcal
2024-10-29(화),쇠고기미역국(05)(06)(16),50.09kcal,추가밥,213kcal,유부된장국(05)(06),34.19kcal,,,3282.57kcal
2024-10-29(화),닭볶음탕(05)(06)(15),408.2kcal,닭꼬치(완)(05)(15),123.2kcal,김말이튀김&고추튀김(05)(06)(10),383.11kcal,,,3282.57kcal
2024-10-29(화),열무된장무침(05)(06),21.3kcal,락교,27.9kcal,계란후라이(01)(05),115.08kcal,,,3282.57kcal
2024-10-29(화),가공우유(초코맛)(02),194kcal,배추김치(수의),12kcal,무생채,17.64kcal,,,3282.57kcal
2024-10-29(화),배추김치(수의),12kcal,,,배추김치(수의),12kcal,,,3282.57kcal
2024-10-29(화),,,,,사이다,350kcal,,,3282.57kcal
2024-10-30(수),언양식불고기버거(01)(02)(05)(06)(10)(12),761.98kcal,잡곡밥,387.65kcal,파송송계란국(01)(05)(06)(16),59.72kcal,,,3636.78kcal
2024-10-30(수),웨지감자튀김(05),416.5kcal,양해장국(05),12.6kcal,마늘안심닭강정(02)(05)(06)(15)(16),744.43kcal,,,3636.78kcal
2024-10-30(수),야채샐러드,93.71kcal,닭날개데리야끼조림(05),407.28kcal,팔보채덮밥(05)(06)(09)(17)(18),499.31kcal,,,3636.78kcal
2024-10-30(수),콜라,117.5kcal,깻잎순무침(05)(06),25.45kcal,꼬들단무지무침(13),18.45kcal,,,3636.78kcal
2024-10-30(수),우유(02),65kcal,깍두기(수의)(09),15.2kcal,배추김치(수의),12kcal,,,3636.78kcal
2024-10-30(수),,,바나나,,,,,,3636.78kcal
2024-10-31(목),밥,355kcal,밥,355kcal,밥,355kcal,,,3068.62kcal
2024-10-04(금),쇠고기장터국(완)(16),46.24kcal,우렁된장찌개(05)(06)(09)(18),86.64kcal,우동국물(05),61.41kcal,,,3261.16kcal
2024-10-04(금),맛김,5.25kcal,마늘삼겹살구이(10),703.66kcal,모짜렐라치즈핫도그 (02)(05)(06)(10),147.8kcal,,,3261.16kcal
2024-10-04(금),함박스테이크(05)(10),394.2kcal,콩나물무침(05)(06),30.37kcal,꼬들단무지무침(13),18.45kcal,,,3261.16kcal
2024-10-04(금),양념깻잎지무침(05)(06),30kcal,상추쌈,10.53kcal,배추김치(수의),12kcal,,,3261.16kcal
2024-10-04(금),깍두기(수의)(09),15.2kcal,보쌈김치(09),48.55kcal,,,,,3261.16kcal
2024-10-04(금),우유(02),65kcal,에너지 음료,,,,,,3261.16kcal
2024-10-05(토),핫치킨버거(01)(02)(05)(06)(12)(15),760.55kcal,통새우볶음밥(완)(01)(02)(05)(06)(09)(15)(16)(18),397kcal,밥,355kcal,,,3130.45kcal
2024-10-05(토),테이터잼감자튀김(05),203kcal,김치국,22.78kcal,시래기감자탕(완)(10),259.99kcal,,,3130.45kcal
2024-10-05(토),우유(02),65kcal,바베큐폭립(브런치)(05)(06)(10)(16),695kcal,매콤계란조림(05)(06),151.25kcal,,,3130.45kcal
2024-10-05(토),,,만다린샐러드(05),61.3kcal,가지무침(05)(06),14.88kcal,,,3130.45kcal
2024-10-05(토),,,깍두기(수의)(09),15.2kcal,배추김치(수의),12kcal,,,3130.45kcal
2024-10-05(토),,,콜라,117.5kcal,,,,,3130.45kcal
2024-10-06(일),전복죽(완)(05)(06)(16)(18),0kcal,밥,355kcal,빈달루커리(05)(06)(12)(15)(16)(18),590.58kcal,,,2663.87kcal
2024-10-06(일),맛김,5.25kcal,물만둣국(01)(05)(06)(10),304.56kcal,매운버섯국(05)(06)(16),41.64kcal,,,2663.87kcal
2024-10-06(일),돈육장조림(완)(05)(06)(10)(16)(18),305.5kcal,돈육김치찜(05)(06)(10),156.99kcal,미니전병(02)(05)(06)(09)(10)(16),305.65kcal,,,2663.87kcal
2024-10-06(일),오징어젓무침(17),41.26kcal,미트볼케찹조림(02)(05)(06)(10)(12)(16),72.56kcal,꽃맛살메추리알샐러드(01)(05),291.88kcal,,,2663.87kcal
2024-10-06(일),배추김치(수의),12kcal,깍두기(수의)(09),15.2kcal,배추김치(수의),12kcal,,,2663.87kcal
2024-10-06(일),우유(02),65kcal,이온음료,88.8kcal,,,,,2663.87kcal
