날짜,식사시간,메뉴,칼로리
2023-09-01,아침,해물파전,429
2023-09-01,점심,참치김밥,529
2023-09-01,저녁,로제떡볶이,825
2023-09-02,아침,오리구이,889
2023-09-02,점심,간장새우,774
2023-09-02,저녁,우삼겹덮밥,353
2023-09-03,아침,낙지볶음,784
2023-09-03,점심,돼지갈비,329
2023-09-03,저녁,잔치국수,403
2023-09-04,아침,새우볶음밥,859
2023-09-04,점심,김치볶음밥,744
2023-09-04,저녁,양꼬치,343
2023-09-05,아침,계란말이,818
2023-09-05,점심,쌀국수,489
2023-09-05,저녁,쌀국수,340
2023-09-06,아침,물냉면,741
2023-09-06,점심,제육볶음,506
2023-09-06,저녁,수제비,412
2023-09-07,아침,명란파스타,561
2023-09-07,점심,오징어볶음,349
2023-09-07,저녁,전복죽,342
2023-09-08,아침,샐러드파스타,625
2023-09-08,점심,돼지고기김치찜,311
2023-09-08,저녁,잡채,686
2023-09-09,아침,새우볶음밥,743
2023-09-09,점심,치즈돈까스,800
2023-09-09,저녁,불닭볶음면,440
2023-09-10,아침,떡국,348
2023-09-10,점심,스테이크,307
2023-09-10,저녁,곱창전골,503
2023-09-11,아침,곱창전골,810
2023-09-11,점심,새우볶음밥,324
2023-09-11,저녁,회,588
2023-09-12,아침,양념게장,335
2023-09-12,점심,양념게장,412
2023-09-12,저녁,우동,372
2023-09-13,아침,삼계탕,336
2023-09-13,점심,샐러드파스타,304
2023-09-13,저녁,샌드위치,516
2023-09-14,아침,고등어구이,508
2023-09-14,점심,낙지볶음,390
2023-09-14,저녁,고기국수,323
2023-09-15,아침,마파두부,338
2023-09-15,점심,돈까스,642
2023-09-15,저녁,육개장,669
2023-09-16,아침,갈비탕,347
2023-09-16,점심,닭볶음탕,782
2023-09-16,저녁,짬뽕,821
2023-09-17,아침,닭한마리,760
2023-09-17,점심,삼계탕,579
2023-09-17,저녁,참치김밥,389
2023-09-18,아침,떡국,510
2023-09-18,점심,북엇국,640
2023-09-18,저녁,우동,879
2023-09-19,아침,훈제연어샐러드,421
2023-09-19,점심,콩나물국밥,625
2023-09-19,저녁,전복죽,900
2023-09-20,아침,아구찜,559
2023-09-20,점심,닭갈비,502
2023-09-20,저녁,훈제오리샐러드,536
2023-09-21,아침,바지락칼국수,336
2023-09-21,점심,깐풍기,650
2023-09-21,저녁,훈제오리샐러드,508
2023-09-22,아침,닭강정,896
2023-09-22,점심,우삼겹덮밥,358
2023-09-22,저녁,불고기,386
2023-09-23,아침,회덮밥,833
2023-09-23,점심,닭강정,469
2023-09-23,저녁,떡국,384
2023-09-24,아침,차슈덮밥,648
2023-09-24,점심,삼계탕,410
2023-09-24,저녁,돼지국밥,549
2023-09-25,아침,우동,813
2023-09-25,점심,함박스테이크,752
2023-09-25,저녁,낙곱새,432
2023-09-26,아침,콩국수,499
2023-09-26,점심,닭가슴살샐러드,567
2023-09-26,저녁,갈비찜,407
2023-09-27,아침,불닭볶음면,699
2023-09-27,점심,라면,542
2023-09-27,저녁,순대국,579
2023-09-28,아침,오리구이,393
2023-09-28,점심,불닭볶음면,515
2023-09-28,저녁,계란말이,525
2023-09-29,아침,닭갈비,443
2023-09-29,점심,북엇국,433
2023-09-29,저녁,칼국수,764
2023-09-30,아침,떡만둣국,850
2023-09-30,점심,순대볶음,464
2023-09-30,저녁,양꼬치,452
2023-10-01,아침,양념게장,350
2023-10-01,점심,알밥,530
2023-10-01,저녁,치즈떡볶이,679
2023-10-02,아침,김치찌개,897
2023-10-02,점심,스시롤,358
2023-10-02,저녁,초밥,385
2023-10-03,아침,동태찌개,856
2023-10-03,점심,크림파스타,838
2023-10-03,저녁,돼지고기김치찜,877
2023-10-04,아침,해물파전,508
2023-10-04,점심,라멘,360
2023-10-04,저녁,냉채족발,341
2023-10-05,아침,명란파스타,544
2023-10-05,점심,카레,672
2023-10-05,저녁,바지락칼국수,807
2023-10-06,아침,스테이크,491
2023-10-06,점심,불닭볶음면,438
2023-10-06,저녁,비빔국수,491
2023-10-07,아침,카레,846
2023-10-07,점심,전복죽,346
2023-10-07,저녁,오징어볶음,693
2023-10-08,아침,보쌈,879
2023-10-08,점심,김치볶음밥,669
2023-10-08,저녁,떡국,427
2023-10-09,아침,아구찜,810
2023-10-09,점심,설렁탕,720
2023-10-09,저녁,깐풍기,655
2023-10-10,아침,김치전,348
2023-10-10,점심,갈비찜,696
2023-10-10,저녁,해물파전,821
2023-10-11,아침,수제비,653
2023-10-11,점심,크림파스타,363
2023-10-11,저녁,비빔국수,502
2023-10-12,아침,닭볶음탕,431
2023-10-12,점심,새우장,380
2023-10-12,저녁,스시롤,387
2023-10-13,아침,콩국수,676
2023-10-13,점심,차슈덮밥,844
2023-10-13,저녁,갈릭버터새우,478
2023-10-14,아침,닭한마리,440
2023-10-14,점심,오징어볶음,794
2023-10-14,저녁,고등어구이,519
2023-10-15,아침,감자탕,556
2023-10-15,점심,라멘,555
2023-10-15,저녁,굴국밥,354
2023-10-16,아침,고기국수,855
2023-10-16,점심,닭볶음탕,689
2023-10-16,저녁,카레,481
2023-10-17,아침,닭볶음탕,332
2023-10-17,점심,불닭볶음면,890
2023-10-17,저녁,샤브샤브,739
2023-10-18,아침,비빔밥,840
2023-10-18,점심,고추장불고기,677
2023-10-18,저녁,라멘,788
2023-10-19,아침,떡만둣국,518
2023-10-19,점심,물냉면,673
2023-10-19,저녁,쭈꾸미볶음,805
2023-10-20,아침,비빔밥,504
2023-10-20,점심,돼지고기김치찜,881
2023-10-20,저녁,냉채족발,515
2023-10-21,아침,볶음밥,426
2023-10-21,점심,육개장,719
2023-10-21,저녁,김밥,857
