날짜,식사시간,메뉴,칼로리
2023-09-01,아침,우동,815
2023-09-01,점심,스테이크,824
2023-09-01,저녁,돈까스덮밥,678
2023-09-02,아침,냉면,849
2023-09-02,점심,새우튀김,790
2023-09-02,저녁,코다리조림,591
2023-09-03,아침,스시롤,699
2023-09-03,점심,돼지갈비,373
2023-09-03,저녁,칼국수,368
2023-09-04,아침,코다리조림,814
2023-09-04,점심,돼지국밥,404
2023-09-04,저녁,차슈덮밥,431
2023-09-05,아침,만두국,856
2023-09-05,점심,아구찜,347
2023-09-05,저녁,곱창전골,762
2023-09-06,아침,굴국밥,514
2023-09-06,점심,유부초밥,419
2023-09-06,저녁,돼지갈비,318
2023-09-07,아침,낙곱새,351
2023-09-07,점심,바지락칼국수,425
2023-09-07,저녁,고추장불고기,363
2023-09-08,아침,스테이크,413
2023-09-08,점심,치즈라면,696
2023-09-08,저녁,초밥,774
2023-09-09,아침,순두부찌개,414
2023-09-09,점심,훈제오리샐러드,471
2023-09-09,저녁,새우튀김,544
2023-09-10,아침,돈까스카레,495
2023-09-10,점심,부대찌개,808
2023-09-10,저녁,스시롤,778
2023-09-11,아침,콩국수,614
2023-09-11,점심,새우장,481
2023-09-11,저녁,굴국밥,616
2023-09-12,아침,계란말이,505
2023-09-12,점심,스테이크,875
2023-09-12,저녁,차돌박이,840
2023-09-13,아침,새우튀김,463
2023-09-13,점심,돼지고기김치찜,716
2023-09-13,저녁,짬뽕,410
2023-09-14,아침,삼겹살,302
2023-09-14,점심,삼계탕,760
2023-09-14,저녁,제육볶음,320
2023-09-15,아침,불닭볶음면,326
2023-09-15,점심,계란말이,399
2023-09-15,저녁,우삼겹덮밥,711
2023-09-16,아침,낙곱새,622
2023-09-16,점심,닭갈비,351
2023-09-16,저녁,훈제연어샐러드,505
2023-09-17,아침,닭한마리,546
2023-09-17,점심,잡채,821
2023-09-17,저녁,갈비탕,893
2023-09-18,아침,돼지고기김치찜,327
2023-09-18,점심,치킨,682
2023-09-18,저녁,고기국수,705
2023-09-19,아침,해물파전,591
2023-09-19,점심,샌드위치,595
2023-09-19,저녁,제육볶음,607
2023-09-20,아침,치즈라면,311
2023-09-20,점심,우삼겹덮밥,660
2023-09-20,저녁,돈까스카레,775
2023-09-21,아침,양념게장,705
2023-09-21,점심,간장새우,651
2023-09-21,저녁,치즈돈까스,885
2023-09-22,아침,오리구이,304
2023-09-22,점심,콩나물국밥,820
2023-09-22,저녁,비빔국수,662
2023-09-23,아침,새우튀김,346
2023-09-23,점심,돼지갈비,351
2023-09-23,저녁,바지락칼국수,304
2023-09-24,아침,새우볶음밥,829
2023-09-24,점심,고등어구이,671
2023-09-24,저녁,해물파전,654
2023-09-25,아침,불닭볶음면,577
2023-09-25,점심,초밥,630
2023-09-25,저녁,치즈돈까스,323
2023-09-26,아침,닭갈비,511
2023-09-26,점심,초밥,356
2023-09-26,저녁,순두부찌개,622
2023-09-27,아침,치즈라면,607
2023-09-27,점심,떡만둣국,355
