Meal,n_days,R2 Score,MAE
breakfast,2,0.8514174487700622,2.002787937124523
lunch,2,0.5499743580917361,6.319139873912122
dinner,2,0.49264875696842764,3.462632574370167
breakfast,3,0.8697233916553434,1.8984895831498523
lunch,3,0.5142992995723673,5.9834411620369705
dinner,3,0.4227179563091892,4.507440774404942
breakfast,7,0.7773715740913675,2.9259590478656343
lunch,7,0.2929832736393606,6.288658799058035
dinner,7,0.3073901273510951,4.953425218776316
breakfast,14,0.8608564705415782,2.001560392388777
lunch,14,0.3905243509520466,5.9586537477496035
dinner,14,0.4772304411186991,4.3438133513551795
