Meal,n_days,R2 Score,MAE
breakfast,2,0.08845500201475442,6.19306381085791
lunch,2,0.3619718923626836,4.91404854163074
dinner,2,0.3812418203403358,4.460702578627033
breakfast,3,0.15868951244784416,5.941586771935024
lunch,3,0.19363454479371797,5.307507123449596
dinner,3,0.2138209071297398,5.108179437064341
breakfast,7,0.17596068117190278,6.424397256394125
lunch,7,0.16231039568333702,6.017401953189875
dinner,7,0.2136640319367369,4.869168967266633
breakfast,14,0.07828329814742185,6.900456215811057
lunch,14,0.18250101704589058,6.2060367498726166
dinner,14,0.1044578702728789,4.833817080290007
