y_test,y_pred
2.42,24.067408
9.5,7.9077263
27.38,13.106541
6.0,22.765434
6.0,8.415819
8.0,12.945019
5.62,18.181797
17.99,10.334363
18.25,15.127949
6.0,14.071675
1.1,7.493082
6.0,11.72166
0.0,26.493912
6.0,9.104958
9.0,10.523992
14.04,17.039572
1.86,7.781907
2.04,12.7674055
15.0,29.606585
8.1,10.347925
15.0,14.345167
18.99,20.705051
2.45,8.126003
8.5,13.5479765
22.87665718349931,19.802216
8.81584637268846,8.136629
13.69443812233288,14.702805
9.67,27.93377
4.64,9.696474
3.16,13.495089
7.0,13.966703
2.4,6.8435597
13.0,13.872186
5.46,20.442232
1.66,7.5977283
3.02,14.794016
11.76,26.875235
5.28,9.064791
2.78,17.385275
16.08,19.012197
6.78,8.540998
15.06,14.636422
6.0,20.467772
6.0,6.862229
15.0,10.606715
7.0,21.443832
2.4,8.546004
13.0,12.520888
23.0,45.93567
20.0,12.676342
11.0,18.83714
11.76,21.338474
5.28,12.682467
2.78,18.026638
13.06,19.562214
2.45,6.7685833
13.11,13.03873
100.0,24.271381
10.0,9.911852
10.0,14.48125
100.0,20.606258
10.0,8.1210785
10.0,13.73245
12.07,17.211765
8.62,9.432614
16.43,14.907185
25.0,25.024395
1.0,9.629907
3.0,12.254334
22.87665718349931,20.641546
8.81584637268846,7.617655
13.69443812233288,11.2498865
22.87665718349931,22.407614
8.81584637268846,8.471404
13.69443812233288,13.915664
7.0,20.633465
13.0,7.950534
32.0,11.840493
22.87665718349931,28.202892
8.81584637268846,9.740668
13.69443812233288,14.460805
6.11,19.228062
4.71,9.318467
9.71,16.596613
11.63,19.704432
31.26,8.84917
33.29,16.813627
12.0,30.011915
20.0,9.48992
14.0,11.744721
5.87,20.964281
1.54,10.244639
2.17,13.616606
17.42,20.97596
1.43,7.955601
3.28,13.459351
22.87665718349931,20.950495
8.81584637268846,7.7214456
13.69443812233288,15.365833
22.87665718349931,24.047232
8.81584637268846,7.9848013
13.69443812233288,18.538855
13.06,30.448606
2.45,11.826366
13.11,13.891574
5.62,14.444391
17.99,10.012917
18.25,14.597175
15.0,26.601885
6.0,11.152791
10.0,14.4949665
22.87665718349931,19.685556
8.81584637268846,7.416904
13.69443812233288,14.714746
105.0,23.101435
16.9,7.8975205
8.0,12.269558
22.87665718349931,24.060728
8.81584637268846,9.448197
13.69443812233288,15.114929
11.76,23.28992
5.28,8.356419
2.78,16.352716
5.87,14.541111
1.54,8.411072
2.17,13.627356
19.83,27.835072
7.59,8.757938
2.32,12.071387
3.28,18.268793
4.9,7.562823
12.81,11.561115
24.74,23.971605
2.16,9.079164
4.75,13.575582
7.0,18.327372
3.7,7.6827374
9.0,13.723219
12.07,16.834583
8.62,8.09988
16.43,14.670876
12.07,16.313856
8.62,8.226647
16.43,14.445325
12.24,30.725294
9.4,11.262028
8.7,11.650343
22.87665718349931,19.915035
8.81584637268846,8.065882
13.69443812233288,13.264362
0.42,30.203033
4.43,9.82805
24.71,13.215719
22.87665718349931,18.430597
8.81584637268846,8.379869
13.69443812233288,13.243541
7.0,18.225918
3.7,8.301592
9.0,12.783057
14.04,20.03265
1.86,8.925504
2.04,16.24881
15.24,20.794802
6.03,7.0430884
1.63,11.949522
2.0,20.398893
4.2,7.5075197
13.0,13.477108
5.99,18.932972
1.13,9.498289
2.31,14.096098
17.0,27.914965
4.0,7.6861663
12.0,19.472528
30.0,27.32931
4.7,8.32601
6.0,12.435031
50.0,21.46816
22.0,10.464876
20.0,16.518986
8.17,27.757994
2.48,10.595135
5.99,12.389901
2.36,19.422464
6.78,7.600522
6.98,13.575484
19.0,39.751633
2.7,12.687329
9.0,17.970043
22.87665718349931,31.169167
8.81584637268846,8.593949
13.69443812233288,12.046599
22.87665718349931,22.547194
8.81584637268846,8.78014
13.69443812233288,12.648291
82.0,37.72726
16.3,13.463526
16.2,15.449259
6.38,26.12
8.09,9.108977
8.17,12.499794
7.0,22.067152
13.0,7.7987056
32.0,13.811285
9.67,19.861732
4.64,6.5694447
3.16,11.190216
6.0,19.468908
7.0,8.062021
11.0,13.635706
22.87665718349931,20.34817
8.81584637268846,9.165473
13.69443812233288,12.806641
33.0,22.74592
1.7,7.7399073
17.0,11.263808
22.87665718349931,22.878294
8.81584637268846,7.835317
13.69443812233288,13.512051
24.74,21.0134
2.16,8.765381
4.75,11.391735
58.0,25.892576
0.8,7.3515463
11.0,10.267507
12.07,16.422867
8.62,8.060313
16.43,14.014839
50.0,34.71903
22.0,12.539147
20.0,16.196081
18.99,21.2749
2.45,6.874171
8.5,12.028055
2.0,26.29284
4.2,7.271517
13.0,15.091671
42.0,31.663187
19.0,9.179164
11.0,11.725397
190.0,36.391
17.0,9.614081
38.0,16.39623
29.95,19.331291
21.79,9.024846
24.12,14.649093
22.87665718349931,21.70483
8.81584637268846,7.997938
13.69443812233288,15.134862
22.87665718349931,26.30946
8.81584637268846,7.1573005
13.69443812233288,13.587857
12.07,16.115149
8.62,7.955575
16.43,15.16338
84.29,19.254461
0.51,7.776488
7.31,12.709609
190.0,44.129513
17.0,8.519868
38.0,17.675125
50.0,36.629128
22.0,13.601363
20.0,16.599123
