Meal,n_days,R2 Score,MAE
breakfast,2,0.45332295143340334,5.869717647197269
lunch,2,0.1394984496860471,5.7366468383976885
dinner,2,0.2008582324471522,5.474120171321033
breakfast,3,0.22649040590121927,5.212254830440897
lunch,3,0.16190190741552435,6.417177741383765
dinner,3,0.28974381394829835,5.537496323431807
breakfast,7,0.42947246912071974,5.218526225650002
lunch,7,0.14529721613291569,6.9655385486356645
dinner,7,0.09404488523640282,6.594267447208455
breakfast,14,0.125796051948198,7.273289076420261
lunch,14,0.16588675909488138,5.8589095491147996
dinner,14,0.16563238898356122,6.718039745754273
