Meal,n_days,R2 Score,MAE
breakfast,2,-0.4389457001704855,3.1380965059068466
lunch,2,-1.522229547628223,7.058202953338623
dinner,2,-8.233865924907635,4.41558788617452
breakfast,3,-31.035766901923907,5.1217825222015385
lunch,3,-1.5064699378742412,6.051861219103375
dinner,3,-3.482469708486393,2.2795774788605536
breakfast,7,-113.35581508648146,5.573545694351196
lunch,7,-57.5773602892514,12.591082894007364
dinner,7,-2.9646854507359066,3.964678542906777
breakfast,14,,1.5427780151367188
lunch,14,,5.852061236699423
dinner,14,,10.661885039011638
