Meal,n_days,R2 Score,MAE
breakfast,2,0.11228421727585274,5.168870867866709
lunch,2,-0.10217398595909204,6.206101047275435
dinner,2,-0.0943203041527478,6.760401354613246
breakfast,3,0.03718434228375408,5.803533983746128
lunch,3,-0.02321844021102193,7.770838207396072
dinner,3,0.31404644023961487,7.186459362351697
breakfast,7,-0.17119556950641215,5.046457466212001
lunch,7,-0.14841154077027055,7.599153082725519
dinner,7,0.3854274587613264,7.0443472533557925
breakfast,14,-0.038484722560429896,4.4199537253501875
lunch,14,-0.057034413764068294,4.425301577647854
dinner,14,0.42034565577126076,6.525751258070749
