Meal,n_days,R2 Score,MAE
breakfast,2,0.016809468196121797,9.897848170504057
lunch,2,0.23007959142325352,6.138730016184369
dinner,2,0.06340297083525444,6.31015391389852
breakfast,3,-0.1134554079778081,6.320594339518897
lunch,3,-0.10093114177477032,11.16620895910392
dinner,3,-0.06766568772512753,5.564298844188855
breakfast,7,-0.032626321465447715,5.125913432148216
lunch,7,-0.014965961379834894,7.757641072587702
dinner,7,-0.1472986928742878,8.23529675801595
breakfast,14,-0.38087530780676054,5.878955027873008
lunch,14,0.03450671471248068,10.575572971767848
dinner,14,-0.07661186871854049,4.671796191052692
