Meal,n_days,R2 Score,MAE
breakfast,2,0.4596114993824161,3.461131262457087
lunch,2,0.2814217448066488,4.580450185782262
dinner,2,0.6672420454994904,2.852215852283298
breakfast,3,0.5421563289073689,3.159935546755927
lunch,3,0.4203587532062952,3.893550832498932
dinner,3,0.5086766144469631,3.5034890272271912
breakfast,7,0.453009149063114,3.4316445902378656
lunch,7,0.15969593928306047,4.479505822846533
dinner,7,0.3315400983740708,3.5145595163552463
breakfast,14,0.3921914322423337,2.945517755545288
lunch,14,0.3102190335453126,4.991409391121809
dinner,14,0.37415536247598036,4.306099738525701
