Meal,n_days,R2 Score,MAE
breakfast,2,0.28924853970356246,5.837556137262998
lunch,2,-0.03424538114536476,7.098941666997642
dinner,2,0.13680158553811883,7.933197810035878
breakfast,3,0.09001076676547674,5.372002872916795
lunch,3,0.011597952967668376,6.489153388077399
dinner,3,0.13402868555050473,8.380575148197597
breakfast,7,0.047355251749735094,5.170450323262762
lunch,7,0.0017193238090385716,7.950635298859377
dinner,7,0.08790210223705534,8.462163860764639
breakfast,14,0.08955364581406215,5.809157423472802
lunch,14,-0.057238919605119586,7.80124892947822
dinner,14,-0.27021192245833525,6.341722077840747
