날짜,breakfast,breakfast_embedding,lunch,lunch_embedding,dinner,dinner_embedding,breakfast_count,lunch_count,dinner_count
2022-11-01,감자짜글이,"[32.0, 1.8, 5.0, [1, 0, 0, 0, 0]]",콩나물국,"[5.87, 1.54, 2.17, [1, 0, 0, 0, 0]]",김치찌개,"[6.38, 8.09, 8.17, [1, 0, 0, 0, 0]]",3,15,23
2022-11-02,조랭이떡미역국,"[25.0, 1.0, 3.0, [1, 0, 0, 0, 0]]",배추두부국,"[0, 0, 0, [0, 0, 0, 0, 1]]",중화식계란탕,"[0, 0, 0, [0, 0, 0, 0, 1]]",21,5,15
2022-11-03,닭죽,"[5.52, 12.18, 27.21, [1, 0, 0, 0, 0]]",호박고추장찌개,"[13.53, 2.9, 6.9, [1, 0, 0, 0, 0]]",쇠고기육개장,"[6.0, 6.0, 8.0, [1, 0, 0, 0, 0]]",16,10,14
2022-11-04,비엔나야채떡조림,"[0, 0, 0, [0, 0, 0, 0, 1]]",,"[0, 0, 0, [0, 0, 0, 0, 1]]",배,"[15.46, 0.12, 0.38, [1, 0, 0, 0, 0]]",1,7,1
2022-11-05,베이컨토마토디럭스버거,"[15.0, 10.0, 27.0, [1, 0, 0, 0, 0]]",부대찌개,"[41.11, 38.55, 27.7, [1, 0, 0, 0, 0]]",콩나물김치국,"[1.79, 1.82, 1.92, [1, 0, 0, 0, 0]]",2,12,5
2022-11-06,달걀국,"[1.1, 3.83, 7.52, [1, 0, 0, 0, 0]]",쇠고기무국,"[12.07, 8.62, 16.43, [1, 0, 0, 0, 0]]",김치찌개,"[6.38, 8.09, 8.17, [1, 0, 0, 0, 0]]",9,7,23
2022-11-07,황태채콩나물국,"[5.0, 1.5, 8.0, [1, 0, 0, 0, 0]]",들깨미역국,"[11.76, 5.28, 2.78, [1, 0, 0, 0, 0]]",쇠고기장터국,"[7.0, 3.7, 9.0, [1, 0, 0, 0, 0]]",4,7,1
2022-11-08,꼬리곰탕,"[7.0, 13.0, 32.0, [1, 0, 0, 0, 0]]",팽이미소된장국,"[7.78, 3.36, 6.02, [1, 0, 0, 0, 0]]",생선묵국,"[0, 0, 0, [0, 0, 0, 0, 1]]",28,15,14
2022-11-09,감자수제비국,"[66.44, 6.59, 15.81, [1, 0, 0, 0, 0]]",쇠고기미역국,"[16.08, 6.78, 15.06, [1, 0, 0, 0, 0]]",굴해물짬뽕,"[69.0, 8.0, 18.0, [1, 0, 0, 0, 0]]",8,9,2
2022-11-10,햄치즈버거,"[42.0, 17.0, 18.0, [1, 0, 0, 0, 0]]",호박된장찌개,"[16.77, 5.6, 15.01, [1, 0, 0, 0, 0]]",떡만둣국,"[68.42, 11.05, 15.0, [1, 0, 0, 0, 0]]",13,7,1
2022-11-11,쇠고기감자국,"[7.0, 2.4, 13.0, [1, 0, 0, 0, 0]]",미소된장국,"[7.78, 3.36, 6.02, [1, 0, 0, 0, 0]]",닭볶음탕,"[9.4, 9.5, 25.72, [1, 0, 0, 0, 0]]",16,8,11
2022-11-12,생우동,"[67.0, 3.1, 9.0, [1, 0, 0, 0, 0]]",생선묵김치찌개,"[0, 0, 0, [0, 0, 0, 0, 1]]",순두부국,"[3.61, 2.62, 4.01, [1, 0, 0, 0, 0]]",1,7,16
2022-11-13,핫도그빵,"[24.74, 2.16, 4.75, [1, 0, 0, 0, 0]]",닭고기육개장,"[6.0, 6.0, 8.0, [1, 0, 0, 0, 0]]",감자양파찌개,"[14.04, 1.86, 2.04, [1, 0, 0, 0, 0]]",2,7,14
2022-11-14,쇠고기미역국,"[16.08, 6.78, 15.06, [1, 0, 0, 0, 0]]",순두부찌개,"[5.62, 17.99, 18.25, [1, 0, 0, 0, 0]]",근대된장국,"[5.82, 1.36, 3.47, [1, 0, 0, 0, 0]]",19,11,4
2022-11-15,미소된장국,"[7.78, 3.36, 6.02, [1, 0, 0, 0, 0]]",마라탕,"[16.1, 8.99, 10.08, [1, 0, 0, 0, 0]]",시금치된장국,"[17.48, 2.8, 7.91, [1, 0, 0, 0, 0]]",12,3,2
2022-11-16,쇠고기야채죽,"[30.0, 4.7, 6.0, [1, 0, 0, 0, 0]]",닭갈비,"[14.39, 8.99, 13.4, [1, 0, 0, 0, 0]]",쫄면,"[43.29, 1.54, 4.55, [1, 0, 0, 0, 0]]",11,1,1
2022-11-17,"해태에이치티비,복숭아봉봉,340ml","[42.0, 0.0, 1.0, [1, 0, 0, 0, 0]]",떠먹는 토핑형 발효유,"[27.85, 0.04, 0.08, [1, 0, 0, 0, 0]]",,"[0, 0, 0, [0, 0, 0, 0, 1]]",1,1,12
2022-11-18,차돌된장찌개,"[14.67, 10.78, 19.1, [1, 0, 0, 0, 0]]",부대찌개,"[41.11, 38.55, 27.7, [1, 0, 0, 0, 0]]",해물칼국수,"[46.37, 6.24, 14.19, [1, 0, 0, 0, 0]]",1,12,2
2022-11-19,햄치즈버거,"[42.0, 17.0, 18.0, [1, 0, 0, 0, 0]]",우동장국,"[18.0, 0.0, 6.0, [1, 0, 0, 0, 0]]",맑은순두부찌개,"[5.62, 17.99, 18.25, [1, 0, 0, 0, 0]]",13,23,1
