날짜,breakfast,breakfast_embedding,lunch,lunch_embedding,dinner,dinner_embedding,breakfast_count,lunch_count,dinner_count,breakfast_kobert,lunch_kobert,dinner_kobert,breakfast_cuisine,lunch_cuisine,dinner_cuisine
2021-01-02,매콤새송이버섯볶음,"15.456037735849026, 7.76572776280322, 11.825808625336967",미나리나물,"21.880597826086973, 5.7335326086956435, 10.85184782608697",호박쇠고기볶음,"3.91, 6.23, 10.92",1,1,1,[-3.90769953  0.05196757  0.06544717],[ 7.65178665 -0.72076722 -1.8022491 ],[-3.22382636  0.25856301 -0.0525172 ],"[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]"
2021-01-03,계란국,"0.97, 1.08, 1.58",호박고추장찌개,"13.53, 2.9, 6.9",두부쑥갓국,"17.16501305483033, 6.5887467362924195, 11.64323759791124",12,4,1,[-3.90769953  0.05196757  0.06544717],[-4.45485591  0.47255687 -0.08271518],[-3.22382636  0.25856301 -0.0525172 ],"[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]"
2021-01-04,쇠고기미역국,"16.08, 6.78, 15.06",감자호박국,"21.880597826086973, 5.7335326086956435, 10.85184782608697",김치버섯찌개,"10.55, 5.06, 9.28",102,19,3,[-3.90769953  0.05196757  0.06544717],[7.91073321 0.90657064 2.17305008],[-3.22382636  0.25856301 -0.0525172 ],"[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]"
2021-01-05,근대콩나물조개국,"15.456037735849026, 7.76572776280322, 11.825808625336967",쇠고기무국,"12.07, 8.62, 16.43",팽이버섯국,"6.1, 0.7, 1.4",13,20,2,[ 9.17755814  0.24148183 -0.3153848 ],[-4.45485591  0.47255687 -0.08271518],[-3.22382636  0.25856301 -0.0525172 ],"[0, 0, 0, 0, 1]","[1, 0, 0, 0, 0]","[0, 0, 0, 0, 1]"
2021-01-06,깍두기,"3.21, 0.29, 0.62",,"21.880597826086973, 5.7335326086956435, 10.85184782608697",포도 주스,"37.85, 0.2, 1.42",6,65,1,[-3.90769953  0.05196757  0.06544717],[-3.67347657 -6.15648594  1.07389635],[ 7.82062897 -0.5665877  -1.26760047],"[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]"
2021-01-07,햄치즈버거,"42.0, 17.0, 18.0",아욱된장국,"4.88, 0.73, 2.68",계란국,"0.97, 1.08, 1.58",11,30,5,[ 7.97770039 -2.72735599 -0.57414699],[-4.45485591  0.47255687 -0.08271518],[-3.22382636  0.25856301 -0.0525172 ],"[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]"
2021-01-09,호박된장국,"9.0, 0.9, 3.0",햄소시지찌개,"21.880597826086973, 5.7335326086956435, 10.85184782608697",느타리버섯국,"17.0, 6.0, 4.0",4,11,1,[-3.90769953  0.05196757  0.06544717],[-4.45485591  0.47255687 -0.08271518],[-3.22382636  0.25856301 -0.0525172 ],"[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]"
2021-01-10,쇠고기미역국,"16.08, 6.78, 15.06",된장국,"9.93, 1.85, 5.55",닭곰탕,"1.87, 4.75, 18.72",102,6,18,[-3.90769953  0.05196757  0.06544717],[-4.45485591  0.47255687 -0.08271518],[-3.22382636  0.25856301 -0.0525172 ],"[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]"
2021-01-11,계란국,"0.97, 1.08, 1.58",짬뽕수제비국,"93.0, 3.7, 10.0",된장찌개,"16.77, 5.6, 15.01",12,10,45,[-3.90769953  0.05196757  0.06544717],[-4.45485591  0.47255687 -0.08271518],[-3.22382636  0.25856301 -0.0525172 ],"[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]"
2021-01-13,우유(백색우유(200ML,"4.66, 3.35, 3.32",백김치,"4.75, 0.19, 1.21",깍두기,"3.21, 0.29, 0.62",12,2,5,[ 7.73023401 -0.2226098   0.70699553],[ 6.45175687 -0.41592342 -0.45922683],[-3.22382636  0.25856301 -0.0525172 ],"[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]"
