날짜,breakfast,breakfast_embedding,lunch,lunch_embedding,dinner,dinner_embedding,breakfast_count,lunch_count,dinner_count
2023-02-01(수),맑은쇠고기무국,"[0.0, 2.5, 20.0, [1, 0, 0, 0, 0]]",차돌박이된장찌개,"[27.0, 28.0, 27.0, [1, 0, 0, 0, 0]]",부대찌개,"[41.11, 38.55, 27.7, [1, 0, 0, 0, 0]]",44,5,42
2023-02-02(목),쇠고기미역국,"[16.08, 6.78, 15.06, [1, 0, 0, 0, 0]]",등뼈감자탕,"[0, 0, 0, [0, 0, 0, 0, 1]]",콩나물국,"[5.87, 1.54, 2.17, [1, 0, 0, 0, 0]]",61,18,9
2023-02-03(금),순두부찌개,"[5.62, 17.99, 18.25, [1, 0, 0, 0, 0]]",랍스터버터구이,"[0, 0, 0, [0, 0, 0, 0, 1]]",나가사끼짬뽕국,"[74.0, 9.0, 9.0, [1, 0, 0, 0, 0]]",7,2,14
2023-02-04(토),쇠고기청경채볶음,"[0, 0, 0, [0, 0, 0, 0, 1]]",유부장국,"[8.17, 2.48, 5.99, [1, 0, 0, 0, 0]]",돼지고기김치찌개,"[6.38, 8.09, 8.17, [1, 0, 0, 0, 0]]",1,15,28
2023-02-05(일),감자된장국,"[0, 0, 0, [0, 0, 0, 0, 1]]",육개장,"[10.45, 7.57, 14.32, [1, 0, 0, 0, 0]]",콩나물국,"[5.87, 1.54, 2.17, [1, 0, 0, 0, 0]]",7,6,9
2023-02-06(월),맑은쇠고기무국,"[0.0, 2.5, 20.0, [1, 0, 0, 0, 0]]",미소장국,"[7.78, 3.36, 6.02, [1, 0, 0, 0, 0]]",모듬어묵국,"[19.0, 2.7, 9.0, [1, 0, 0, 0, 0]]",44,16,20
2023-02-07(화),배추된장국,"[8.64, 2.01, 3.8, [1, 0, 0, 0, 0]]",참치김치찌개,"[6.11, 4.71, 9.71, [1, 0, 0, 0, 0]]",맑은황태채국,"[0, 0, 0, [0, 0, 0, 0, 1]]",23,3,6
2023-02-08(수),쇠고기장터국,"[7.0, 3.7, 9.0, [1, 0, 0, 0, 0]]",닭칼국수,"[47.12, 6.06, 15.09, [1, 0, 0, 0, 0]]",누룽지탕,"[52.27, 0.33, 5.09, [1, 0, 0, 0, 0]]",15,3,6
2023-02-09(목),돼지국밥,"[0, 0, 0, [1, 0, 0, 0, 0]]",나가사끼짬뽕국,"[74.0, 9.0, 9.0, [1, 0, 0, 0, 0]]",모닝빵&딸기잼,"[17.42, 1.43, 3.28, [1, 0, 0, 0, 0]]",1,11,6
2023-02-10(금),유부장국,"[8.17, 2.48, 5.99, [1, 0, 0, 0, 0]]",냉이된장국,"[15.24, 3.41, 9.74, [1, 0, 0, 0, 0]]",스팸감자짜글이,"[32.0, 1.8, 5.0, [1, 0, 0, 0, 0]]",5,2,10
2023-02-11(토),치아바타샌드위치,"[197.0, 97.0, 77.0, [1, 0, 0, 0, 0]]",꼬리곰탕,"[7.0, 13.0, 32.0, [1, 0, 0, 0, 0]]",닭개장,"[7.33, 14.54, 31.38, [1, 0, 0, 0, 0]]",2,3,16
2023-02-12(일),시금치된장국,"[17.48, 2.8, 7.91, [1, 0, 0, 0, 0]]",감자수제비국,"[66.44, 6.59, 15.81, [1, 0, 0, 0, 0]]",맑은쇠고기무국,"[0.0, 2.5, 20.0, [1, 0, 0, 0, 0]]",12,6,3
2023-02-13(월),버섯감자찌개,"[10.55, 5.06, 9.28, [1, 0, 0, 0, 0]]",배추된장국,"[8.64, 2.01, 3.8, [1, 0, 0, 0, 0]]",유부된장국,"[8.17, 2.48, 5.99, [1, 0, 0, 0, 0]]",3,5,1
2023-02-14(화),맑은쇠고기무국,"[0.0, 2.5, 20.0, [1, 0, 0, 0, 0]]",모듬어묵국,"[19.0, 2.7, 9.0, [1, 0, 0, 0, 0]]",돈육제육볶음,"[10.37, 11.03, 13.21, [1, 0, 0, 0, 0]]",44,18,1
2023-02-15(수),닭곰탕,"[1.87, 4.75, 18.72, [1, 0, 0, 0, 0]]",떡국,"[66.59, 3.21, 11.18, [1, 0, 0, 0, 0]]",계란파국,"[0.97, 1.08, 1.58, [1, 0, 0, 0, 0]]",17,4,5
2023-02-16(목),참치김치찌개,"[6.11, 4.71, 9.71, [1, 0, 0, 0, 0]]",아욱된장국,"[4.88, 0.73, 2.68, [1, 0, 0, 0, 0]]",어묵국,"[12.5, 2.37, 12.66, [1, 0, 0, 0, 0]]",13,3,1
2023-02-17(금),호박고추장찌개,"[13.53, 2.9, 6.9, [1, 0, 0, 0, 0]]",차돌육개장,"[9.0, 12.0, 18.0, [1, 0, 0, 0, 0]]",쇠고기장터국,"[7.0, 3.7, 9.0, [1, 0, 0, 0, 0]]",7,7,8
2023-02-18(토),쇠고기미역국,"[16.08, 6.78, 15.06, [1, 0, 0, 0, 0]]",순두부짬뽕국,"[69.0, 7.0, 9.0, [1, 0, 0, 0, 0]]",부대찌개,"[41.11, 38.55, 27.7, [1, 0, 0, 0, 0]]",61,7,42
2023-02-19(일),시금치된장국,"[17.48, 2.8, 7.91, [1, 0, 0, 0, 0]]",감자수제비국,"[66.44, 6.59, 15.81, [1, 0, 0, 0, 0]]",계란파국,"[0.97, 1.08, 1.58, [1, 0, 0, 0, 0]]",12,6,5
2023-02-20(월),닭개장,"[7.33, 14.54, 31.38, [1, 0, 0, 0, 0]]",우렁강된장찌개,"[12.0, 1.8, 7.0, [1, 0, 0, 0, 0]]",돼지국밥,"[0, 0, 0, [1, 0, 0, 0, 0]]",4,3,8
2023-02-21(화),쇠고기미역국,"[16.08, 6.78, 15.06, [1, 0, 0, 0, 0]]",등뼈감자탕,"[0, 0, 0, [0, 0, 0, 0, 1]]",모듬어묵국,"[19.0, 2.7, 9.0, [1, 0, 0, 0, 0]]",61,18,20
2023-02-22(수),순두부찌개,"[5.62, 17.99, 18.25, [1, 0, 0, 0, 0]]",미소장국,"[7.78, 3.36, 6.02, [1, 0, 0, 0, 0]]",짬뽕수제비국,"[93.0, 3.7, 10.0, [1, 0, 0, 0, 0]]",7,16,8
2023-02-23(목),맑은쇠고기무국,"[0.0, 2.5, 20.0, [1, 0, 0, 0, 0]]",냉이된장국,"[15.24, 3.41, 9.74, [1, 0, 0, 0, 0]]",쇠고기미역국,"[16.08, 6.78, 15.06, [1, 0, 0, 0, 0]]",44,2,12
2023-02-24(금),스팸김치찌개,"[19.0, 20.0, 19.0, [1, 0, 0, 0, 0]]",쌀국수,"[55.0, 4.2, 16.0, [1, 0, 0, 0, 0]]",육개장,"[10.45, 7.57, 14.32, [1, 0, 0, 0, 0]]",6,1,37
2023-02-25(토),햄버거빵,"[29.77, 2.6, 5.71, [1, 0, 0, 0, 0]]",쇠고기전골,"[47.0, 7.0, 13.0, [1, 0, 0, 0, 0]]",스팸감자짜글이,"[32.0, 1.8, 5.0, [1, 0, 0, 0, 0]]",1,10,10
2023-02-26(일),사골곰탕,"[0.0, 2.4, 3.0, [1, 0, 0, 0, 0]]",돼지고기김치찌개,"[6.38, 8.09, 8.17, [1, 0, 0, 0, 0]]",부대찌개,"[41.11, 38.55, 27.7, [1, 0, 0, 0, 0]]",1,5,42
2023-02-27(월),갈비탕,"[11.63, 31.26, 33.29, [1, 0, 0, 0, 0]]",생우동,"[67.0, 3.1, 9.0, [1, 0, 0, 0, 0]]",짬뽕수제비국,"[93.0, 3.7, 10.0, [1, 0, 0, 0, 0]]",1,2,8
2023-02-28(화),얼큰쇠고기무국,"[9.6, 3.4, 10.0, [1, 0, 0, 0, 0]]",삼계탕,"[20.41, 15.89, 55.5, [1, 0, 0, 0, 0]]",감자계란국,"[0, 0, 0, [0, 0, 0, 0, 1]]",24,5,9
