날짜,breakfast,breakfast_embedding,lunch,lunch_embedding,dinner,dinner_embedding,breakfast_count,lunch_count,dinner_count
2022-06-01,쇠고기미역국,"[16.08, 6.78, 15.06, [1, 0, 0, 0, 0]]",김치찌개,"[6.38, 8.09, 8.17, [1, 0, 0, 0, 0]]",호박된장찌개,"[16.77, 5.6, 15.01, [1, 0, 0, 0, 0]]",21,3,1
2022-06-02,남도떡갈비,"[9.0, 26.0, 12.0, [1, 0, 0, 0, 0]]",야채고로케,"[9.0, 11.0, 5.0, [1, 0, 0, 0, 0]]",쌈무,"[0.6, 0.04, 0.16, [1, 0, 0, 0, 0]]",1,1,1
2022-06-03,쇠고기감자국,"[7.0, 2.4, 13.0, [1, 0, 0, 0, 0]]",냉김치말이국수,"[76.7, 7.01, 17.37, [1, 0, 0, 0, 0]]",닭볶음탕,"[9.4, 9.5, 25.72, [1, 0, 0, 0, 0]]",16,1,7
2022-06-04,오징어무국,"[3.8, 0.96, 10.35, [1, 0, 0, 0, 0]]",호박된장찌개,"[16.77, 5.6, 15.01, [1, 0, 0, 0, 0]]",새우순두부계란탕,"[0, 0, 0, [0, 0, 0, 0, 1]]",2,3,3
2022-06-05,왕만두국,"[29.95, 21.79, 24.12, [1, 0, 0, 0, 0]]",사골곰탕,"[0.0, 2.4, 3.0, [1, 0, 0, 0, 0]]",감자짜글이,"[32.0, 1.8, 5.0, [1, 0, 0, 0, 0]]",8,1,7
2022-06-06,콩나물김치국,"[1.79, 1.82, 1.92, [1, 0, 0, 0, 0]]",김치찌개,"[6.38, 8.09, 8.17, [1, 0, 0, 0, 0]]",유부미소장국,"[4.2, 1.1, 3.2, [1, 0, 0, 0, 0]]",4,3,1
2022-06-07,쇠고기무국,"[12.07, 8.62, 16.43, [1, 0, 0, 0, 0]]",도토리묵냉국,"[34.0, 0.5, 1.0, [1, 0, 0, 0, 0]]",햄소시지찌개,"[0, 0, 0, [0, 0, 0, 0, 1]]",40,1,3
2022-06-08,조갯살미역국,"[0, 0, 0, [0, 0, 0, 0, 1]]",감자탕,"[10.01, 5.58, 14.74, [1, 0, 0, 0, 0]]",순두부찌개,"[5.62, 17.99, 18.25, [1, 0, 0, 0, 0]]",4,3,12
2022-06-09,배추된장국,"[8.64, 2.01, 3.8, [1, 0, 0, 0, 0]]",쇠고기감자국,"[7.0, 2.4, 13.0, [1, 0, 0, 0, 0]]",콩나물국,"[5.87, 1.54, 2.17, [1, 0, 0, 0, 0]]",5,4,11
2022-06-10,쇠고기당면국,"[7.0, 2.4, 13.0, [1, 0, 0, 0, 0]]",우동국물,"[12.38, 2.74, 1.62, [1, 0, 0, 0, 0]]",김치찌개,"[6.38, 8.09, 8.17, [1, 0, 0, 0, 0]]",3,1,1
2022-06-11,양념감자튀김,"[1.0, 4.3, 5.0, [1, 0, 0, 0, 0]]",시금치된장국,"[17.48, 2.8, 7.91, [1, 0, 0, 0, 0]]",북어들깨미역국,"[11.76, 5.28, 2.78, [1, 0, 0, 0, 0]]",1,2,4
2022-06-12,사골우거지국,"[6.0, 7.0, 14.0, [1, 0, 0, 0, 0]]",쇠고기감자국,"[7.0, 2.4, 13.0, [1, 0, 0, 0, 0]]",닭고기육개장,"[6.0, 6.0, 8.0, [1, 0, 0, 0, 0]]",11,4,14
2022-06-13,쇠고기미역국,"[16.08, 6.78, 15.06, [1, 0, 0, 0, 0]]",크림스파게티,"[30.25, 12.87, 9.4, [1, 0, 0, 0, 0]]",콩나물김치국,"[1.79, 1.82, 1.92, [1, 0, 0, 0, 0]]",21,1,4
2022-06-14,감자달걀국,"[0, 0, 0, [0, 0, 0, 0, 1]]",닭볶음탕,"[9.4, 9.5, 25.72, [1, 0, 0, 0, 0]]",배추된장국,"[8.64, 2.01, 3.8, [1, 0, 0, 0, 0]]",2,8,10
2022-06-15,메추리알장조림,"[2.63, 7.73, 16.25, [1, 0, 0, 0, 0]]",궁중닭찜,"[0, 0, 0, [0, 0, 0, 0, 1]]",새우튀김,"[1.14, 0.31, 2.0, [1, 0, 0, 0, 0]]",1,1,1
2022-06-16,쇠고기당면국,"[7.0, 2.4, 13.0, [1, 0, 0, 0, 0]]",호박된장찌개,"[16.77, 5.6, 15.01, [1, 0, 0, 0, 0]]",쑥갓어묵국,"[0, 0, 0, [0, 0, 0, 0, 1]]",3,3,2
2022-06-17,왕만두국,"[29.95, 21.79, 24.12, [1, 0, 0, 0, 0]]",홍합탕,"[11.91, 7.58, 22.81, [1, 0, 0, 0, 0]]",순두부찌개,"[5.62, 17.99, 18.25, [1, 0, 0, 0, 0]]",8,1,12
2022-06-18,시금치된장국,"[17.48, 2.8, 7.91, [1, 0, 0, 0, 0]]",국물떡볶이,"[73.0, 0.9, 6.0, [1, 0, 0, 0, 0]]",콩나물김치국,"[1.79, 1.82, 1.92, [1, 0, 0, 0, 0]]",4,5,4
2022-06-19,단호박죽,"[41.0, 1.2, 3.0, [1, 0, 0, 0, 0]]",배추된장국,"[8.64, 2.01, 3.8, [1, 0, 0, 0, 0]]",감자짜글이,"[32.0, 1.8, 5.0, [1, 0, 0, 0, 0]]",1,2,7
2022-06-20,콩나물김치국,"[1.79, 1.82, 1.92, [1, 0, 0, 0, 0]]",광어매운탕,"[0, 0, 0, [0, 0, 0, 0, 1]]",쑥갓어묵국,"[0, 0, 0, [0, 0, 0, 0, 1]]",4,1,2
2022-06-21,쇠고기육개장,"[6.0, 6.0, 8.0, [1, 0, 0, 0, 0]]",황태해장국,"[12.07, 4.14, 18.33, [1, 0, 0, 0, 0]]",감자달걀국,"[0, 0, 0, [0, 0, 0, 0, 1]]",7,4,1
2022-06-22,조갯살미역국,"[0, 0, 0, [0, 0, 0, 0, 1]]",삼치순살튀김,"[0, 0, 0, [0, 0, 0, 0, 1]]",순두부찌개,"[5.62, 17.99, 18.25, [1, 0, 0, 0, 0]]",4,1,12
2022-06-23,왕만두국,"[29.95, 21.79, 24.12, [1, 0, 0, 0, 0]]",냉모밀,"[51.38, 4.72, 7.98, [1, 0, 0, 0, 0]]",짬뽕찌개,"[0, 0, 0, [0, 0, 0, 0, 1]]",8,4,12
