날짜,breakfast,breakfast_embedding,lunch,lunch_embedding,dinner,dinner_embedding,breakfast_count,lunch_count,dinner_count
2024-05-01(수),잠봉뵈르샌드위치,"[26.0, 37.0, 12.0, [1, 0, 0, 0, 0]]",짬뽕찌개,"[0, 0, 0, [0, 0, 0, 0, 1]]",콩나물국,"[5.87, 1.54, 2.17, [1, 0, 0, 0, 0]]",2,5,6
2024-05-02(목),감자양파국,"[24.0, 1.3, 4.0, [1, 0, 0, 0, 0]]",타코야끼,"[4.28, 0.63, 1.3, [1, 0, 0, 0, 0]]",쇠고기무국,"[12.07, 8.62, 16.43, [1, 0, 0, 0, 0]]",1,1,4
2024-05-03(금),얼큰어묵국,"[0, 0, 0, [0, 0, 0, 0, 1]]",버섯매운탕,"[78.0, 8.0, 38.0, [1, 0, 0, 0, 0]]",김치찌개,"[6.38, 8.09, 8.17, [1, 0, 0, 0, 0]]",3,4,6
2024-05-04(토),햄치즈에그버거,"[75.0, 10.0, 47.0, [1, 0, 0, 0, 0]]",우동국물,"[12.38, 2.74, 1.62, [1, 0, 0, 0, 0]]",유부주머니탕,"[96.0, 12.0, 14.0, [1, 0, 0, 0, 0]]",1,7,2
2024-05-05(일),쇠고기버섯죽,"[30.0, 7.0, 10.0, [1, 0, 0, 0, 0]]",쇠고기감자국,"[7.0, 2.4, 13.0, [1, 0, 0, 0, 0]]",배추된장국,"[8.64, 2.01, 3.8, [1, 0, 0, 0, 0]]",1,1,6
2024-05-06(월),돼지국밥,"[0, 0, 0, [1, 0, 0, 0, 0]]",순두부찌개,"[5.62, 17.99, 18.25, [1, 0, 0, 0, 0]]",감자짜글이,"[32.0, 1.8, 5.0, [1, 0, 0, 0, 0]]",3,9,3
2024-05-07(화),감자옹심이국,"[48.72, 5.3, 5.23, [1, 0, 0, 0, 0]]",냉모밀,"[51.38, 4.72, 7.98, [1, 0, 0, 0, 0]]",돼지고기고추장찌개,"[17.55, 4.2, 13.0, [1, 0, 0, 0, 0]]",3,4,4
2024-05-08(수),롤케익,"[40.0, 7.0, 5.0, [1, 0, 0, 0, 0]]",감자탕,"[10.01, 5.58, 14.74, [1, 0, 0, 0, 0]]",김치어묵국,"[190.0, 17.0, 38.0, [1, 0, 0, 0, 0]]",1,5,3
2024-05-09(목),황태해장국,"[12.07, 4.14, 18.33, [1, 0, 0, 0, 0]]",쇠고기미역국,"[16.08, 6.78, 15.06, [1, 0, 0, 0, 0]]",샤브샤브국,"[31.72, 16.39, 29.63, [1, 0, 0, 0, 0]]",8,5,4
2024-05-10(금),사골우거지국,"[6.0, 7.0, 14.0, [1, 0, 0, 0, 0]]",순댓국,"[33.78, 10.35, 23.25, [1, 0, 0, 0, 0]]",게맛살계란국,"[0, 0, 0, [0, 0, 0, 0, 1]]",8,2,2
2024-05-11(토),베이컨치즈버거,"[10.19, 10.83, 25.2, [1, 0, 0, 0, 0]]",파송송계란국,"[0, 0, 0, [0, 0, 0, 0, 1]]",홍합탕,"[11.91, 7.58, 22.81, [1, 0, 0, 0, 0]]",2,3,7
2024-05-12(일),차돌된장찌개,"[14.67, 10.78, 19.1, [1, 0, 0, 0, 0]]",쇠고기무국,"[12.07, 8.62, 16.43, [1, 0, 0, 0, 0]]",팽이버섯두부국,"[0, 0, 0, [0, 0, 0, 0, 1]]",1,4,2
2024-05-13(월),황태해장국,"[12.07, 4.14, 18.33, [1, 0, 0, 0, 0]]",삼색수제비국,"[0, 0, 0, [0, 0, 0, 0, 1]]",오징어무국,"[3.8, 0.96, 10.35, [1, 0, 0, 0, 0]]",8,1,3
2024-05-14(화),사골떡만둣국,"[202.0, 28.0, 36.0, [1, 0, 0, 0, 0]]",쑥갓어묵국,"[0, 0, 0, [0, 0, 0, 0, 1]]",쇠고기장터국,"[7.0, 3.7, 9.0, [1, 0, 0, 0, 0]]",4,5,2
2024-05-15(수),해시브라운버거,"[0, 0, 0, [0, 0, 0, 0, 1]]",청국장찌개,"[11.05, 4.19, 10.03, [1, 0, 0, 0, 0]]",짬뽕찌개,"[0, 0, 0, [0, 0, 0, 0, 1]]",2,5,4
2024-05-16(목),새우순두부계란탕,"[0, 0, 0, [0, 0, 0, 0, 1]]",선지해장국,"[12.01, 21.71, 49.19, [1, 0, 0, 0, 0]]",키조개미역국,"[0, 0, 0, [0, 0, 0, 0, 1]]",4,1,2
2024-05-17(금),양지수육곰탕,"[2.0, 1.1, 17.0, [1, 0, 0, 0, 0]]",꽃게탕,"[3.95, 1.58, 12.87, [1, 0, 0, 0, 0]]",콩나물김치국,"[1.79, 1.82, 1.92, [1, 0, 0, 0, 0]]",3,1,1
2024-05-18(토),모닝빵&크로와상,"[17.42, 1.43, 3.28, [1, 0, 0, 0, 0]]",우동국물,"[12.38, 2.74, 1.62, [1, 0, 0, 0, 0]]",닭곰탕,"[1.87, 4.75, 18.72, [1, 0, 0, 0, 0]]",4,7,2
2024-05-19(일),쇠고기육개장,"[6.0, 6.0, 8.0, [1, 0, 0, 0, 0]]",김치어묵국,"[190.0, 17.0, 38.0, [1, 0, 0, 0, 0]]",부대찌개,"[41.11, 38.55, 27.7, [1, 0, 0, 0, 0]]",2,3,4
2024-05-20(월),사골설렁탕,"[0, 0, 0, [0, 0, 0, 0, 1]]",우럭매운탕,"[4.12, 5.1, 21.53, [1, 0, 0, 0, 0]]",참치김치찌개,"[6.11, 4.71, 9.71, [1, 0, 0, 0, 0]]",2,1,4
2024-05-21(화),조갯살미역국,"[0, 0, 0, [0, 0, 0, 0, 1]]",사골우거지국,"[6.0, 7.0, 14.0, [1, 0, 0, 0, 0]]",황태해장국,"[12.07, 4.14, 18.33, [1, 0, 0, 0, 0]]",3,2,2
2024-05-22(수),또띠아치킨랩,"[0, 0, 0, [0, 0, 0, 0, 1]]",순두부찌개,"[5.62, 17.99, 18.25, [1, 0, 0, 0, 0]]",샤브샤브국,"[31.72, 16.39, 29.63, [1, 0, 0, 0, 0]]",6,9,4
