날짜,breakfast,breakfast_embedding,lunch,lunch_embedding,dinner,dinner_embedding,breakfast_count,lunch_count,dinner_count,breakfast_kobert,lunch_kobert,dinner_kobert,breakfast_cuisine,lunch_cuisine,dinner_cuisine
2023-01-01,떡만둣국,"68.42, 11.05, 15.0",두부고추장찌개,"13.53, 2.9, 6.9",쇠고기육개장,"6.0, 6.0, 8.0",10,4,6,[-4.24927278e+00  7.54436023e-04 -1.83657847e-02],[-5.22925745  0.614534   -0.2150155 ],[-4.21856123e+00 -2.97722909e-03  2.46048540e-03],"[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]"
2023-01-02,비엔나소시지김치찌개,"20.506764044943825, 7.193191011235965, 11.196382022471905",쇠고기미역국,"16.08, 6.78, 15.06",닭볶음탕,"9.4, 9.5, 25.72",1,7,9,[-4.24927278e+00  7.54436023e-04 -1.83657847e-02],[-5.22925745  0.614534   -0.2150155 ],[-4.21856123e+00 -2.97722909e-03  2.46048540e-03],"[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]","[1, 0, 0, 0, 0]"
2023-01-05,쇠고기호박찌개,"20.506764044943825, 7.193191011235965, 11.196382022471905",강된장찌개,"16.77, 5.6, 15.01",수제치킨버거,"32.22, 9.75, 12.98",6,17,3,[-4.24927278e+00  7.54436023e-04 -1.83657847e-02],[-5.22925745  0.614534   -0.2150155 ],[ 7.94031069 -1.83600034 -1.4585295 ],"[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]"
2023-01-06,생선묵국,"20.506764044943825, 7.193191011235965, 11.196382022471905",감자계란국,"23.364628297362138, 6.89143884892086, 11.399088729016809",순두부국,"3.61, 2.62, 4.01",3,2,3,[ 7.63140825  3.39761093 -0.57066278],[-5.22925745  0.614534   -0.2150155 ],[ 7.01777971  2.69896613 -0.95619629],"[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]"
2023-01-07,치즈불고기버거,"28.0, 21.0, 8.0",닭곰탕,"1.87, 4.75, 18.72",참치김치찌개,"6.11, 4.71, 9.71",3,2,3,[ 8.75976046 -1.61038671  0.48981498],[-5.22925745  0.614534   -0.2150155 ],[-4.21856123e+00 -2.97722909e-03  2.46048540e-03],"[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]"
2023-01-08,돼지고기김치찌개,"6.38, 8.09, 8.17",호박된장찌개,"16.77, 5.6, 15.01",미소된장국,"7.78, 3.36, 6.02",10,14,20,[-4.24927278e+00  7.54436023e-04 -1.83657847e-02],[-5.22925745  0.614534   -0.2150155 ],[-4.21856123e+00 -2.97722909e-03  2.46048540e-03],"[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]"
2023-01-09,쇠고기무국,"12.07, 8.62, 16.43",하이라이스,"49.14, 9.49, 10.26",불향가득짬뽕탕,"18.62, 11.0, 15.0",31,1,1,[-4.24927278e+00  7.54436023e-04 -1.83657847e-02],[ 6.95562288 -1.19329679 -1.90639451],[-4.21856123e+00 -2.97722909e-03  2.46048540e-03],"[1, 0, 0, 0, 0]","[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]"
2023-01-10,감자수제비,"66.44, 6.59, 15.81",잔치국수,"83.16, 3.94, 20.78",팽이버섯된장국,"18.028541666666687, 7.269953703703698, 12.044375000000013",10,4,18,[ 8.04247065 -0.55307461  0.46049884],[6.42668445 0.92442144 1.62070157],[-4.21856123e+00 -2.97722909e-03  2.46048540e-03],"[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]"
2023-01-11,두부맑은국,"20.506764044943825, 7.193191011235965, 11.196382022471905",홍합탕,"11.91, 7.58, 22.81",중화식계란탕,"18.028541666666687, 7.269953703703698, 12.044375000000013",8,5,6,[-4.24927278e+00  7.54436023e-04 -1.83657847e-02],[6.2971286  0.0286478  1.06003276],[-4.21856123e+00 -2.97722909e-03  2.46048540e-03],"[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]"
2023-01-12,쇠고기미역국,"16.08, 6.78, 15.06",감자옹심이국,"48.72, 5.3, 5.23",미니우동,"47.56, 0.62, 7.04",22,5,5,[-4.24927278e+00  7.54436023e-04 -1.83657847e-02],[7.50086562e+00 3.89772313e-01 3.56693599e-03],[7.69171913 0.03383859 2.35240226],"[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]"
2023-01-13,황태채콩나물국,"5.0, 1.5, 8.0",마라탕,"16.1, 8.99, 10.08",햄감자짜글이,"32.0, 1.8, 5.0",9,4,4,[ 8.81149899  0.39025698 -2.12785434],[ 6.08589612 -0.29801884  0.01487408],[-4.21856123e+00 -2.97722909e-03  2.46048540e-03],"[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]"
2023-01-14,핫도그빵,"24.74, 2.16, 4.75",,"23.364628297362138, 6.89143884892086, 11.399088729016809",라면,"55.68, 14.54, 7.9",2,38,5,[-4.24927278e+00  7.54436023e-04 -1.83657847e-02],[-4.52618574 -5.72701716  2.05677911],[ 5.6790508  -0.63851407  1.1479339 ],"[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]"
2023-01-15,물만둣국,"29.95, 21.79, 24.12",배추된장국,"8.64, 2.01, 3.8",깻잎전,"21.62, 9.15, 10.43",10,8,1,[-4.24927278e+00  7.54436023e-04 -1.83657847e-02],[-5.22925745  0.614534   -0.2150155 ],[-4.21856123e+00 -2.97722909e-03  2.46048540e-03],"[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]"
2023-01-17,순두부국,"3.61, 2.62, 4.01",돈코츠라멘,"83.47, 10.74, 14.48",유부장국,"8.17, 2.48, 5.99",4,4,18,[7.08807356 2.19767189 0.09665199],[ 6.36097119 -1.95617447 -2.83287276],[ 7.74479315  3.28668452 -0.24529799],"[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]"
2023-01-18,닭고기미역국,"3.0, 1.3, 4.0",전투식량,"23.364628297362138, 6.89143884892086, 11.399088729016809",메추리알장조림,"2.63, 7.73, 16.25",5,3,1,[-4.24927278e+00  7.54436023e-04 -1.83657847e-02],[-5.22925745  0.614534   -0.2150155 ],[ 8.83599145 -1.38047421  0.05133059],"[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]"
2023-01-19,두부된장찌개,"16.77, 5.6, 15.01",닭곰탕,"1.87, 4.75, 18.72",새우버거,"46.0, 26.0, 15.0",4,2,4,[-4.24927278e+00  7.54436023e-04 -1.83657847e-02],[-5.22925745  0.614534   -0.2150155 ],[ 7.91437662 -0.68744945 -0.23767297],"[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]","[0, 1, 0, 0, 0]"
2023-01-20,쇠고기감자국,"7.0, 2.4, 13.0",베이컨크림스파게티,"71.0, 18.0, 16.0",유부장국,"8.17, 2.48, 5.99",9,2,18,[-4.24927278e+00  7.54436023e-04 -1.83657847e-02],[ 7.5615265  -1.63544621 -3.03948933],[ 7.74479315  3.28668452 -0.24529799],"[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]"
2023-01-21,반미샌드위치,"34.0, 22.0, 13.0",사골우거지국,"6.0, 7.0, 14.0",닭볶음탕,"9.4, 9.5, 25.72",4,7,9,[-4.24927278e+00  7.54436023e-04 -1.83657847e-02],[7.32789817 0.13048619 0.18639352],[-4.21856123e+00 -2.97722909e-03  2.46048540e-03],"[0, 0, 0, 0, 1]","[1, 0, 0, 0, 0]","[1, 0, 0, 0, 0]"
2023-01-22,꼬꼬떡만둣국,"68.42, 11.05, 15.0",조갯살미역국,"23.364628297362138, 6.89143884892086, 11.399088729016809",돼지고기감자찌개,"6.38, 8.09, 8.17",9,1,5,[-4.24927278e+00  7.54436023e-04 -1.83657847e-02],[-5.22925745  0.614534   -0.2150155 ],[-4.21856123e+00 -2.97722909e-03  2.46048540e-03],"[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]"
2023-01-23,얼큰황태채국,"20.506764044943825, 7.193191011235965, 11.196382022471905",호박된장찌개,"16.77, 5.6, 15.01",김계란국,"5.0, 2.0, 2.0",4,14,5,[ 8.61452122  0.16183219 -1.77948866],[-5.22925745  0.614534   -0.2150155 ],[-4.21856123e+00 -2.97722909e-03  2.46048540e-03],"[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]"
2023-01-24,쇠고기죽,"27.0, 3.8, 5.0",쇠고기육개장,"6.0, 6.0, 8.0",꼬지어묵탕,"18.028541666666687, 7.269953703703698, 12.044375000000013",10,10,1,[-4.24927278e+00  7.54436023e-04 -1.83657847e-02],[-5.22925745  0.614534   -0.2150155 ],[-4.21856123e+00 -2.97722909e-03  2.46048540e-03],"[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]"
2023-01-25,햄감자찌개,"14.04, 1.86, 2.04",닭장각삼계탕,"23.364628297362138, 6.89143884892086, 11.399088729016809",우족탕,"13.0, 9.0, 22.0",5,4,1,[-4.24927278e+00  7.54436023e-04 -1.83657847e-02],[-5.22925745  0.614534   -0.2150155 ],[7.54006412 1.82876118 0.3120556 ],"[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]"
2023-01-26,계란장조림,"1.62, 4.63, 9.75",알배기배추겉절이,"23.364628297362138, 6.89143884892086, 11.399088729016809",콩나물무침,"5.99, 1.13, 2.31",2,1,1,[-4.24927278e+00  7.54436023e-04 -1.83657847e-02],[-5.22925745  0.614534   -0.2150155 ],[ 7.96332769 -0.39028053 -0.70925927],"[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]"
2023-01-28,함박스테이크버거,"14.18, 8.81, 12.25",,"23.364628297362138, 6.89143884892086, 11.399088729016809",라면,"55.68, 14.54, 7.9",3,38,5,[ 8.53736819 -2.45581913 -0.25167006],[-4.52618574 -5.72701716  2.05677911],[ 5.6790508  -0.63851407  1.1479339 ],"[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]"
2023-01-29,사골우거지국,"6.0, 7.0, 14.0",두부맑은국,"23.364628297362138, 6.89143884892086, 11.399088729016809",쇠고기호박수제비,"18.028541666666687, 7.269953703703698, 12.044375000000013",5,5,7,[8.38012776 0.29297638 0.77331943],[-5.22925745  0.614534   -0.2150155 ],[-4.21856123e+00 -2.97722909e-03  2.46048540e-03],"[1, 0, 0, 0, 0]","[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]"
2023-01-30,생선묵국,"20.506764044943825, 7.193191011235965, 11.196382022471905",팽이버섯된장국,"23.364628297362138, 6.89143884892086, 11.399088729016809",나가사끼짬뽕찌개,"74.0, 9.0, 9.0",3,7,3,[ 7.63140825  3.39761093 -0.57066278],[-5.22925745  0.614534   -0.2150155 ],[-4.21856123e+00 -2.97722909e-03  2.46048540e-03],"[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]"
2023-01-31,쇠고기무국,"12.07, 8.62, 16.43",고기국수,"74.18, 12.22, 14.14",꼬리곰탕,"7.0, 13.0, 32.0",31,4,2,[-4.24927278e+00  7.54436023e-04 -1.83657847e-02],[6.49863095 0.90997786 1.23474654],[-4.21856123e+00 -2.97722909e-03  2.46048540e-03],"[1, 0, 0, 0, 0]","[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]"
2023-02-01,돼지고기김치찌개,"6.38, 8.09, 8.17",전복미역국,"6.0, 1.5, 5.0",호박된장찌개,"16.77, 5.6, 15.01",10,2,11,[-4.24927278e+00  7.54436023e-04 -1.83657847e-02],[7.20177593 1.15986496 1.53492895],[-4.21856123e+00 -2.97722909e-03  2.46048540e-03],"[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]"
2023-02-02,얼큰만둣국,"20.506764044943825, 7.193191011235965, 11.196382022471905",파개장,"10.45, 7.57, 14.32",새우버거,"46.0, 26.0, 15.0",7,2,4,[-4.24927278e+00  7.54436023e-04 -1.83657847e-02],[6.37969411 0.35102374 1.18734586],[ 7.91437662 -0.68744945 -0.23767297],"[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]","[0, 1, 0, 0, 0]"
2023-02-03,황태채콩나물국,"5.0, 1.5, 8.0",건새우아욱된장국,"23.364628297362138, 6.89143884892086, 11.399088729016809",유부장국,"8.17, 2.48, 5.99",9,5,18,[ 8.81149899  0.39025698 -2.12785434],[-5.22925745  0.614534   -0.2150155 ],[ 7.74479315  3.28668452 -0.24529799],"[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]"
2023-02-05,쇠고기무국,"12.07, 8.62, 16.43",순두부찌개,"5.62, 17.99, 18.25",쇠고기미역국,"16.08, 6.78, 15.06",31,6,4,[-4.24927278e+00  7.54436023e-04 -1.83657847e-02],[-5.22925745  0.614534   -0.2150155 ],[-4.21856123e+00 -2.97722909e-03  2.46048540e-03],"[1, 0, 0, 0, 0]","[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]"
2023-02-06,새우계란죽,"39.0, 7.0, 7.0",미더덕된장찌개,"23.364628297362138, 6.89143884892086, 11.399088729016809",사골우거지국,"6.0, 7.0, 14.0",4,1,8,[-4.24927278e+00  7.54436023e-04 -1.83657847e-02],[-5.22925745  0.614534   -0.2150155 ],[ 8.38575083  0.632848   -0.59657677],"[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]","[1, 0, 0, 0, 0]"
2023-02-07,닭고기무국,"6.0, 1.1, 6.0",햄토마토스파게티,"48.0, 3.5, 6.0",맑은순두부계란탕,"18.028541666666687, 7.269953703703698, 12.044375000000013",20,2,5,[-4.24927278e+00  7.54436023e-04 -1.83657847e-02],[ 7.69405949 -1.49078822 -2.66640436],[-4.21856123e+00 -2.97722909e-03  2.46048540e-03],"[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]"
2023-02-08,건새우아욱된장국,"20.506764044943825, 7.193191011235965, 11.196382022471905",유부장국,"8.17, 2.48, 5.99",햄김치찌개,"6.47, 7.57, 7.51",5,12,2,[-4.24927278e+00  7.54436023e-04 -1.83657847e-02],[6.84943795 1.32724859 2.07796994],[-4.21856123e+00 -2.97722909e-03  2.46048540e-03],"[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]"
2023-02-09,오징어무국,"3.8, 0.96, 10.35",잔치국수,"83.16, 3.94, 20.78",에그불고기버거,"54.0, 18.0, 20.0",12,4,1,[8.38547492 1.32952508 1.14021345],[6.42668445 0.92442144 1.62070157],[ 8.57402723 -1.70247453 -2.06975581],"[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]"
2023-02-11,햄&치즈베이글,"2.14, 4.82, 9.3",,"23.364628297362138, 6.89143884892086, 11.399088729016809",라면,"55.68, 14.54, 7.9",8,38,5,[ 8.25107576 -3.20029683  0.35253461],[-4.52618574 -5.72701716  2.05677911],[ 5.6790508  -0.63851407  1.1479339 ],"[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]"
2023-02-12,무청시래기국,"26.0, 10.0, 5.0",참치김치찌개,"6.11, 4.71, 9.71",햄감자채볶음,"18.0, 7.0, 4.0",3,1,1,[ 8.53840485  0.67235198 -0.03444453],[-5.22925745  0.614534   -0.2150155 ],[-4.21856123e+00 -2.97722909e-03  2.46048540e-03],"[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]"
2023-02-13,닭고기무국,"6.0, 1.1, 6.0",부추재첩국,"23.364628297362138, 6.89143884892086, 11.399088729016809",쇠고기육개장,"6.0, 6.0, 8.0",20,2,6,[-4.24927278e+00  7.54436023e-04 -1.83657847e-02],[6.91333739 0.36716802 0.71248089],[-4.21856123e+00 -2.97722909e-03  2.46048540e-03],"[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]"
2023-02-14,돼지고기감자찌개,"6.38, 8.09, 8.17",낙지짬뽕,"23.364628297362138, 6.89143884892086, 11.399088729016809",쇠고기호박수제비,"18.028541666666687, 7.269953703703698, 12.044375000000013",6,2,7,[-4.24927278e+00  7.54436023e-04 -1.83657847e-02],[-5.22925745  0.614534   -0.2150155 ],[-4.21856123e+00 -2.97722909e-03  2.46048540e-03],"[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]"
2023-02-15,해물순두부찌개,"13.31, 16.19, 25.76",쇠고기감자국,"7.0, 2.4, 13.0",미소된장국,"7.78, 3.36, 6.02",2,2,20,[-4.24927278e+00  7.54436023e-04 -1.83657847e-02],[-5.22925745  0.614534   -0.2150155 ],[-4.21856123e+00 -2.97722909e-03  2.46048540e-03],"[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]"
2023-02-16,쇠고기모듬버섯찌개,"20.506764044943825, 7.193191011235965, 11.196382022471905",콩나물무채국,"5.99, 1.13, 2.31",게살스프,"4.13, 4.72, 16.96",4,4,5,[-4.24927278e+00  7.54436023e-04 -1.83657847e-02],[7.40032372e+00 4.29979838e-03 8.18370646e-02],[ 7.81526012 -1.26411951  0.98812711],"[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]"
2023-02-17,두부된장찌개,"16.77, 5.6, 15.01",유부장국,"8.17, 2.48, 5.99",돼지고기김치찌개,"6.38, 8.09, 8.17",4,12,8,[-4.24927278e+00  7.54436023e-04 -1.83657847e-02],[6.84943795 1.32724859 2.07796994],[-4.21856123e+00 -2.97722909e-03  2.46048540e-03],"[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]"
2023-02-19,떡만둣국,"68.42, 11.05, 15.0",쇠고기무국,"12.07, 8.62, 16.43",파인애플함박스테이크,"18.028541666666687, 7.269953703703698, 12.044375000000013",10,5,1,[-4.24927278e+00  7.54436023e-04 -1.83657847e-02],[-5.22925745  0.614534   -0.2150155 ],[ 8.99130843 -2.05185035 -0.39096447],"[0, 0, 0, 0, 1]","[1, 0, 0, 0, 0]","[0, 0, 0, 0, 1]"
