날짜,조식,중식,석식,breakfast_embedding,lunch_embedding,dinner_embedding
2023-02-21(화),두부찜,매콤감자조림,쇠고기계란장조림,"[2.81, 4.21, 8.1, [1, 0, 0, 0, 0]]","[6.66, 1.68, 0.79, [1, 0, 0, 0, 0]]","[0, 0, 0, [0, 0, 0, 0, 1]]"
2023-02-21(화),열무김치,석박지,일반배추김치,,"[3.93, 0.14, 0.81, [1, 0, 0, 0, 0]]","[1.58, 0.12, 0.66, [1, 0, 0, 0, 0]]"
2023-02-21(화),우유),초콜렛,,"[4.6, 4.0, 3.0, [1, 0, 0, 0, 0]]","[59.4, 29.66, 7.65, [1, 0, 0, 0, 0]]","[0, 0, 0, [0, 0, 0, 0, 1]]"
2023-02-22(수),떡만둣국,찰보리밥,밥,"[68.42, 11.05, 15.0, [1, 0, 0, 0, 0]]",,
2023-02-22(수),밥,된장국,국물떡볶이,,"[9.93, 1.85, 5.55, [1, 0, 0, 0, 0]]","[73.0, 0.9, 6.0, [1, 0, 0, 0, 0]]"
2023-02-22(수),호박쇠고기볶음,돼지파채불고기,팝콘형치킨너겟,"[3.91, 6.23, 10.92, [1, 0, 0, 0, 0]]","[5.1, 12.36, 12.13, [1, 0, 0, 0, 0]]","[0, 0, 0, [0, 0, 0, 0, 1]]"
2023-02-22(수),명이나물절임,고구마튀김,순대,"[6.15, 0.14, 2.85, [1, 0, 0, 0, 0]]","[7.54, 1.46, 0.82, [1, 0, 0, 0, 0]]","[27.51, 8.52, 18.97, [1, 0, 0, 0, 0]]"
2023-02-22(수),배추김치,양배추/풋고추쌈,열무김치,,"[5.58, 0.12, 1.44, [1, 0, 0, 0, 0]]",
2023-02-22(수),우유),일반배추김치,,"[4.6, 4.0, 3.0, [1, 0, 0, 0, 0]]","[1.58, 0.12, 0.66, [1, 0, 0, 0, 0]]","[0, 0, 0, [0, 0, 0, 0, 1]]"
2023-02-22(수),,식혜,,"[0, 0, 0, [0, 0, 0, 0, 1]]","[12.11, 0.02, 0.2, [1, 0, 0, 0, 0]]","[0, 0, 0, [0, 0, 0, 0, 1]]"
2023-02-23(목),달걀케첩볶음밥,밥,콩나물밥,,,
2023-02-23(목),북어채국,꼬지어묵우동,데리야끼소시지떡볶음,"[3.28, 4.9, 12.81, [1, 0, 0, 0, 0]]","[0, 0, 0, [0, 0, 0, 0, 1]]","[0, 0, 0, [0, 0, 0, 0, 1]]"
2023-02-23(목),두부김치,새우튀김,치즈볼,,"[1.14, 0.31, 2.0, [1, 0, 0, 0, 0]]","[2.0, 6.0, 1.0, [1, 0, 0, 0, 0]]"
2023-02-23(목),찐만두,오이파프리카무침,일반배추김치,"[3.54, 0.98, 4.27, [1, 0, 0, 0, 0]]","[0, 0, 0, [0, 0, 0, 0, 1]]","[1.58, 0.12, 0.66, [1, 0, 0, 0, 0]]"
2023-02-23(목),열무김치,석박지,,,"[3.93, 0.14, 0.81, [1, 0, 0, 0, 0]]","[0, 0, 0, [0, 0, 0, 0, 1]]"
2023-02-23(목),우유),,,"[4.6, 4.0, 3.0, [1, 0, 0, 0, 0]]","[0, 0, 0, [0, 0, 0, 0, 1]]","[0, 0, 0, [0, 0, 0, 0, 1]]"
