날짜,조식,중식,석식,breakfast_embedding,lunch_embedding,dinner_embedding
2022-05-05,우유),,케이크,"[4.6, 4.0, 3.0, [1, 0, 0, 0, 0]]","[0, 0, 0, [0, 0, 0, 0, 1]]","[29.6, 5.86, 1.66, [1, 0, 0, 0, 0]]"
2022-05-06,밥,흑미밥,쇠고기국밥,,,
2022-05-06,중화식계란탕,콩나물국,고등어카레튀김,"[0, 0, 0, [0, 0, 0, 0, 1]]","[5.87, 1.54, 2.17, [1, 0, 0, 0, 0]]","[7.02, 26.04, 19.45, [1, 0, 0, 0, 0]]"
2022-05-06,쇠고기야채볶음,돼지고기김치볶음,김치전,"[3.91, 6.23, 10.92, [1, 0, 0, 0, 0]]","[2.86, 9.51, 8.69, [1, 0, 0, 0, 0]]","[17.22, 6.71, 6.32, [1, 0, 0, 0, 0]]"
2022-05-06,오이무침,야채춘권튀김,배추김치,"[7.72, 1.55, 1.58, [1, 0, 0, 0, 0]]","[0.96, 0.71, 0.3, [1, 0, 0, 0, 0]]",
2022-05-06,배추김치,조미김,초콜릿,,"[1.55, 1.91, 0.68, [1, 0, 0, 0, 0]]","[59.4, 29.66, 7.65, [1, 0, 0, 0, 0]]"
2022-05-06,우유),깍두기,,"[4.6, 4.0, 3.0, [1, 0, 0, 0, 0]]","[3.21, 0.29, 0.62, [1, 0, 0, 0, 0]]","[0, 0, 0, [0, 0, 0, 0, 1]]"
2022-05-06,생수,,,"[29.0, 2.2, 6.0, [1, 0, 0, 0, 0]]","[0, 0, 0, [0, 0, 0, 0, 1]]","[0, 0, 0, [0, 0, 0, 0, 1]]"
2022-05-07,밥,햄치즈버거,밥,,"[42.0, 17.0, 18.0, [1, 0, 0, 0, 0]]",
2022-05-07,두부된장국,스크램블에그,사골우거지국,"[15.81, 4.71, 11.2, [1, 0, 0, 0, 0]]","[1.96, 15.21, 13.01, [1, 0, 0, 0, 0]]","[6.0, 7.0, 14.0, [1, 0, 0, 0, 0]]"
2022-05-07,소시지야채볶음,쇠고기수프,닭감자찜,"[4.38, 11.22, 7.92, [1, 0, 0, 0, 0]]","[56.0, 6.4, 8.0, [1, 0, 0, 0, 0]]","[0, 0, 0, [0, 0, 0, 0, 1]]"
