날짜,breakfast,breakfast_embedding,lunch,lunch_embedding,dinner,dinner_embedding,breakfast_count,lunch_count,dinner_count,breakfast_kobert,lunch_kobert,dinner_kobert,breakfast_cuisine,lunch_cuisine,dinner_cuisine
2022-04-01,감자양파국,"24.0, 1.3, 4.0",짬뽕찌개,"23.026823338735817, 7.332025931928672, 13.325202593192872",달걀국,"1.1, 3.83, 7.52",12,6,1,[-4.99640233  0.03424384 -0.01529061],[-6.02123134  0.02773452 -0.03833024],[-3.99270588  0.02144476 -0.0060193 ],"[0, 0, 0, 0, 1]","[0, 0, 1, 0, 0]","[0, 0, 0, 0, 1]"
2022-04-02,쇠고기무국,"12.07, 8.62, 16.43",불고기버거,"50.0, 22.0, 20.0",닭고기육개장,"6.0, 6.0, 8.0",57,3,2,[-4.99640233  0.03424384 -0.01529061],[ 5.95064854 -1.3863712  -2.14996487],[-3.99270588  0.02144476 -0.0060193 ],"[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]"
2022-04-03,배추된장국,"8.64, 2.01, 3.8",호박고추장찌개,"13.53, 2.9, 6.9",뚝배기불고기,"9.74, 13.22, 36.47",13,1,1,[-4.99640233  0.03424384 -0.01529061],[-6.02123134  0.02773452 -0.03833024],[-3.99270588  0.02144476 -0.0060193 ],"[1, 0, 0, 0, 0]","[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]"
2022-04-04,사골떡왕만둣국,"9.0, 4.0, 2.0",순두부해물찌개,"5.62, 17.99, 18.25",미소된장국,"7.78, 3.36, 6.02",1,5,1,[-4.99640233  0.03424384 -0.01529061],[-6.02123134  0.02773452 -0.03833024],[-3.99270588  0.02144476 -0.0060193 ],"[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]","[1, 0, 0, 0, 0]"
2022-04-05,두부된장국,"15.81, 4.71, 11.2",콩나물국,"5.87, 1.54, 2.17",차돌박이된장찌개,"27.0, 28.0, 27.0",13,10,3,[-4.99640233  0.03424384 -0.01529061],[ 6.1807808   1.4009729  -0.63977731],[-3.99270588  0.02144476 -0.0060193 ],"[1, 0, 0, 0, 0]","[0, 0, 0, 0, 1]","[1, 0, 0, 0, 0]"
2022-04-06,중화식계란탕,"17.514322678843225, 7.0395585996955825, 12.214444444444464",순두부해물찌개,"5.62, 17.99, 18.25",고구마고로케,"10.0, 4.6, 8.0",14,5,1,[-4.99640233  0.03424384 -0.01529061],[-6.02123134  0.02773452 -0.03833024],[ 7.97857802 -2.42563479 -0.48788401],"[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]"
2022-04-07,스크램블에그,"1.96, 15.21, 13.01",감자수제비국,"66.44, 6.59, 15.81",쇠고기육개장,"6.0, 6.0, 8.0",1,12,23,[ 6.72944177 -3.41497378  1.55705975],[ 6.2600761  -0.04033549 -1.2778141 ],[-3.99270588  0.02144476 -0.0060193 ],"[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]"
2022-04-08,배추두부국,"17.514322678843225, 7.0395585996955825, 12.214444444444464",생선묵국,"23.026823338735817, 7.332025931928672, 13.325202593192872",김치짜글이찌개,"89.0, 5.0, 14.0",2,2,2,[ 6.80235414  0.84025992 -1.46484037],[ 5.91735904  3.02020455 -0.24330707],[-3.99270588  0.02144476 -0.0060193 ],"[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]","[1, 0, 0, 0, 0]"
2022-04-09,유부어묵국,"69.0, 9.0, 17.0",핫도그빵,"24.74, 2.16, 4.75",시금치된장국,"17.48, 2.8, 7.91",1,3,4,[7.42609499 1.8340436  0.19384339],[-6.02123134  0.02773452 -0.03833024],[-3.99270588  0.02144476 -0.0060193 ],"[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]","[1, 0, 0, 0, 0]"
2022-04-10,호박된장찌개,"16.77, 5.6, 15.01",제육볶음,"10.37, 11.03, 13.21",콩나물국,"5.87, 1.54, 2.17",2,1,5,[-4.99640233  0.03424384 -0.01529061],[-6.02123134  0.02773452 -0.03833024],[ 8.22521728  1.22876286 -0.40590147],"[1, 0, 0, 0, 0]","[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]"
2022-04-11,건새우아욱국,"17.514322678843225, 7.0395585996955825, 12.214444444444464",등뼈감자탕,"23.026823338735817, 7.332025931928672, 13.325202593192872",햄소시지찌개,"18.401822580645174, 7.271499999999997, 12.510790322580663",1,2,2,[7.90326743 2.06144288 0.05213662],[-6.02123134  0.02773452 -0.03833024],[-3.99270588  0.02144476 -0.0060193 ],"[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]"
