날짜,breakfast_embedding,lunch_embedding,dinner_embedding
2022-04-01,36.31210436107399,42.77286308623309,40.90132291269534
2022-04-02,36.31210436107399,0.0,20.45066145634767
2022-04-03,36.31210436107399,42.77286308623309,20.45066145634767
2022-04-04,36.31210436107399,21.386431543116544,40.90132291269534
2022-04-05,36.31210436107399,21.386431543116544,40.90132291269534
2022-04-06,36.31210436107399,21.386431543116544,40.90132291269534
2022-04-07,0.0,21.386431543116544,40.90132291269534
2022-04-08,36.31210436107399,42.77286308623309,20.45066145634767
2022-04-09,36.31210436107399,0.0,40.90132291269534
2022-04-10,36.31210436107399,42.77286308623309,40.90132291269534
2022-04-11,36.31210436107399,42.77286308623309,40.90132291269534
2022-04-12,18.156052180536996,42.77286308623309,40.90132291269534
2022-04-13,36.31210436107399,42.77286308623309,40.90132291269534
2022-04-14,0.0,21.386431543116544,20.45066145634767
2022-04-15,18.156052180536996,21.386431543116544,40.90132291269534
2022-04-16,36.31210436107399,0.0,40.90132291269534
2022-04-17,36.31210436107399,21.386431543116544,40.90132291269534
2022-04-18,36.31210436107399,42.77286308623309,40.90132291269534
2022-04-19,0.0,21.386431543116544,40.90132291269534
2022-04-20,36.31210436107399,42.77286308623309,20.45066145634767
2022-04-21,36.31210436107399,42.77286308623309,40.90132291269534
2022-04-22,36.31210436107399,42.77286308623309,20.45066145634767
2022-04-23,36.31210436107399,0.0,20.45066145634767
2022-04-24,36.31210436107399,42.77286308623309,40.90132291269534
2022-04-25,36.31210436107399,42.77286308623309,20.45066145634767
2022-04-26,18.156052180536996,0.0,40.90132291269534
2022-04-27,18.156052180536996,42.77286308623309,20.45066145634767
2022-04-28,0.0,42.77286308623309,20.45066145634767
2022-04-29,36.31210436107399,21.386431543116544,40.90132291269534
2022-04-30,36.31210436107399,0.0,20.45066145634767
2022-05-01,36.31210436107399,21.386431543116544,40.90132291269534
2022-05-02,18.156052180536996,42.77286308623309,40.90132291269534
2022-05-03,0.0,42.77286308623309,20.45066145634767
2022-05-04,36.31210436107399,21.386431543116544,20.45066145634767
2022-05-05,18.156052180536996,21.386431543116544,40.90132291269534
2022-05-06,36.31210436107399,21.386431543116544,40.90132291269534
2022-05-07,36.31210436107399,0.0,20.45066145634767
2022-05-08,18.156052180536996,42.77286308623309,40.90132291269534
2022-05-09,18.156052180536996,42.77286308623309,20.45066145634767
2022-05-10,36.31210436107399,42.77286308623309,0.0
2022-05-11,18.156052180536996,42.77286308623309,40.90132291269534
2022-05-12,0.0,42.77286308623309,20.45066145634767
2022-05-13,18.156052180536996,42.77286308623309,20.45066145634767
2022-05-14,36.31210436107399,0.0,20.45066145634767
2022-05-15,36.31210436107399,21.386431543116544,20.45066145634767
