날짜,조식,중식,석식,breakfast_embedding,lunch_embedding,dinner_embedding
2023-12-04(월),미역국,곱창전골,김치찌개,"[16.08, 6.78, 15.06, [1, 0, 0, 0, 0]]","[20.96, 23.54, 14.86, [1, 0, 0, 0, 0]]","[6.38, 8.09, 8.17, [1, 0, 0, 0, 0]]"
2023-12-04(월),돈육메추리알장조림,치킨스테이크,언양식불고기,"[2.63, 7.73, 16.25, [1, 0, 0, 0, 0]]","[8.0, 7.0, 21.0, [1, 0, 0, 0, 0]]","[7.0, 8.0, 12.0, [1, 0, 0, 0, 0]]"
2023-12-04(월),오이무침,시금치무침,까르보나라떡볶이,"[7.72, 1.55, 1.58, [1, 0, 0, 0, 0]]","[8.39, 3.14, 3.78, [1, 0, 0, 0, 0]]","[104.0, 10.0, 9.0, [1, 0, 0, 0, 0]]"
2023-12-04(월),브리또,깍두기,배추김치,"[50.0, 15.0, 17.0, [1, 0, 0, 0, 0]]","[3.21, 0.29, 0.62, [1, 0, 0, 0, 0]]",
2023-12-04(월),배추김치,,,,"[0, 0, 0, [0, 0, 0, 0, 1]]","[0, 0, 0, [0, 0, 0, 0, 1]]"
2023-12-05(화),밥1,돈코츠라멘,영양밥,,"[83.47, 10.74, 14.48, [1, 0, 0, 0, 0]]",
2023-12-05(화),황태채무국,새우튀김,아귀탕,"[0, 0, 0, [0, 0, 0, 0, 1]]","[1.14, 0.31, 2.0, [1, 0, 0, 0, 0]]","[6.69, 5.31, 18.04, [1, 0, 0, 0, 0]]"
2023-12-05(화),햄감자볶음,김치전병,쇠고기버섯볶음,"[18.0, 7.0, 4.0, [1, 0, 0, 0, 0]]","[21.0, 6.0, 2.0, [1, 0, 0, 0, 0]]","[3.91, 6.23, 10.92, [1, 0, 0, 0, 0]]"
2023-12-05(화),두부조림,크로와상,시금치무침,"[2.51, 9.94, 6.42, [1, 0, 0, 0, 0]]","[26.11, 11.97, 4.67, [1, 0, 0, 0, 0]]","[8.39, 3.14, 3.78, [1, 0, 0, 0, 0]]"
2023-12-05(화),모닝빵,깍두기,깍두기,"[17.42, 1.43, 3.28, [1, 0, 0, 0, 0]]","[3.21, 0.29, 0.62, [1, 0, 0, 0, 0]]","[3.21, 0.29, 0.62, [1, 0, 0, 0, 0]]"
2023-12-05(화),배추김치,,,,"[0, 0, 0, [0, 0, 0, 0, 1]]","[0, 0, 0, [0, 0, 0, 0, 1]]"
2023-12-06(수),영양밥,밥1,김치덮밥,,,
2023-12-06(수),무두부조개탕,유부된장국,순두부찌개,"[0, 0, 0, [0, 0, 0, 0, 1]]","[8.17, 2.48, 5.99, [1, 0, 0, 0, 0]]","[5.62, 17.99, 18.25, [1, 0, 0, 0, 0]]"
2023-12-06(수),견과류멸치볶음,오리불고기,어니언치킨까스,"[17.5, 14.3, 14.0, [1, 0, 0, 0, 0]]","[5.14, 7.57, 11.76, [1, 0, 0, 0, 0]]","[13.0, 14.0, 14.0, [1, 0, 0, 0, 0]]"
2023-12-06(수),베이컨구이,골뱅이무침,깍두기,"[0, 0, 0, [0, 0, 0, 0, 1]]","[34.68, 4.46, 29.85, [1, 0, 0, 0, 0]]","[3.21, 0.29, 0.62, [1, 0, 0, 0, 0]]"
2023-12-06(수),닭순살데리야끼조림,초코다쿠아즈,,"[0, 0, 0, [0, 0, 0, 0, 1]]","[5.4, 14.5, 7.35, [1, 0, 0, 0, 0]]","[0, 0, 0, [0, 0, 0, 0, 1]]"
2023-12-06(수),배추김치,배추김치,,,,"[0, 0, 0, [0, 0, 0, 0, 1]]"
2023-12-07(목),간장계란밥,영양밥,볶음밥,,,
2023-12-07(목),쇠고기무국,낙지연포탕,굴짬뽕찌개,"[12.07, 8.62, 16.43, [1, 0, 0, 0, 0]]","[0, 0, 0, [0, 0, 0, 0, 1]]","[0, 0, 0, [0, 0, 0, 0, 1]]"
2023-12-07(목),스팸구이,치즈닭갈비,깐쇼새우,"[32.0, 3.9, 6.0, [1, 0, 0, 0, 0]]","[26.0, 25.0, 37.0, [1, 0, 0, 0, 0]]","[17.14, 6.71, 11.26, [1, 0, 0, 0, 0]]"
