날짜,breakfast,breakfast_embedding,lunch,lunch_embedding,dinner,dinner_embedding,breakfast_count,lunch_count,dinner_count
2024-09-01(일),전주식콩나물국,"[0, 0, 0, [0, 0, 0, 0, 1]]",두부맑은국,"[0, 0, 0, [0, 0, 0, 0, 1]]",물만두국,"[29.95, 21.79, 24.12, [1, 0, 0, 0, 0]]",3,1,2
2024-09-02(월),돼지고기무찌개,"[6.38, 8.09, 8.17, [1, 0, 0, 0, 0]]",부대찌개,"[41.11, 38.55, 27.7, [1, 0, 0, 0, 0]]",순두부백탕,"[6.0, 7.0, 11.0, [1, 0, 0, 0, 0]]",3,2,1
2024-09-03(화),쇠고기무국,"[12.07, 8.62, 16.43, [1, 0, 0, 0, 0]]",미소된장국,"[7.78, 3.36, 6.02, [1, 0, 0, 0, 0]]",콩나물김치국,"[1.79, 1.82, 1.92, [1, 0, 0, 0, 0]]",4,1,1
2024-09-04(수),삼계죽,"[155.0, 3.0, 30.0, [1, 0, 0, 0, 0]]",쇠고기육개장,"[6.0, 6.0, 8.0, [1, 0, 0, 0, 0]]",우동국물,"[12.38, 2.74, 1.62, [1, 0, 0, 0, 0]]",1,4,5
2024-09-05(목),감자양파찌개,"[14.04, 1.86, 2.04, [1, 0, 0, 0, 0]]",물냉면,"[64.58, 5.74, 16.5, [1, 0, 0, 0, 0]]",유부장국,"[8.17, 2.48, 5.99, [1, 0, 0, 0, 0]]",1,1,2
2024-09-06(금),돼지고기김치찌개,"[6.38, 8.09, 8.17, [1, 0, 0, 0, 0]]",강된장찌개,"[16.77, 5.6, 15.01, [1, 0, 0, 0, 0]]",맑은콩나물국,"[3.0, 1.0, 5.0, [1, 0, 0, 0, 0]]",1,1,1
2024-09-07(토),치아바타샌드위치,"[197.0, 97.0, 77.0, [1, 0, 0, 0, 0]]",큐브스테이크,"[3.0, 16.0, 28.0, [1, 0, 0, 0, 0]]",쇠고기당면찌개,"[0, 0, 0, [0, 0, 0, 0, 1]]",1,1,1
2024-09-08(일),쇠고기미역국,"[16.08, 6.78, 15.06, [1, 0, 0, 0, 0]]",파송송계란국,"[0, 0, 0, [0, 0, 0, 0, 1]]",호박된장국,"[9.0, 0.9, 3.0, [1, 0, 0, 0, 0]]",2,1,1
2024-09-09(월),두부고추장찌개,"[13.53, 2.9, 6.9, [1, 0, 0, 0, 0]]",돼지고기김치찌개,"[6.38, 8.09, 8.17, [1, 0, 0, 0, 0]]",우동국물,"[12.38, 2.74, 1.62, [1, 0, 0, 0, 0]]",2,1,5
2024-09-10(화),쇠고기무국,"[12.07, 8.62, 16.43, [1, 0, 0, 0, 0]]",버섯된장찌개,"[16.77, 5.6, 15.01, [1, 0, 0, 0, 0]]",물만두국,"[29.95, 21.79, 24.12, [1, 0, 0, 0, 0]]",4,1,2
2024-09-11(수),시리얼,"[27.4, 1.12, 2.39, [1, 0, 0, 0, 0]]",아이스홍시,"[19.77, 0.21, 0.59, [1, 0, 0, 0, 0]]",망고큐브&연유,"[0, 0, 0, [0, 0, 0, 0, 1]]",1,1,1
2024-09-12(목),돼지고기무찌개,"[6.38, 8.09, 8.17, [1, 0, 0, 0, 0]]",사쪽마늘빵,"[35.0, 20.0, 7.0, [1, 0, 0, 0, 0]]",짬뽕순두부국,"[5.0, 3.8, 4.0, [1, 0, 0, 0, 0]]",3,1,1
2024-09-13(금),맑은콩나물국,"[3.0, 1.0, 5.0, [1, 0, 0, 0, 0]]",모듬쌈,"[2.32, 0.11, 0.55, [1, 0, 0, 0, 0]]",팽이버섯국,"[6.1, 0.7, 1.4, [1, 0, 0, 0, 0]]",2,1,1
2024-09-14(토),누텔라토스트,"[5.9, 0.5, 1.1, [1, 0, 0, 0, 0]]",훈제닭다리,"[5.0, 14.0, 27.0, [1, 0, 0, 0, 0]]",스팸짜글이,"[0, 0, 0, [0, 0, 0, 0, 1]]",1,1,3
2024-09-15(일),사골우거지국,"[6.0, 7.0, 14.0, [1, 0, 0, 0, 0]]",조갯살미역국,"[0, 0, 0, [0, 0, 0, 0, 1]]",얼큰오징어국,"[12.11, 3.33, 35.99, [1, 0, 0, 0, 0]]",1,1,2
2024-09-16(월),쇠고기곰탕,"[0.0, 6.0, 9.0, [1, 0, 0, 0, 0]]",뼈없는감자탕,"[14.82, 12.0, 22.56, [1, 0, 0, 0, 0]]",유부장국,"[8.17, 2.48, 5.99, [1, 0, 0, 0, 0]]",1,1,2
2024-09-17(화),쇠고기무국,"[12.07, 8.62, 16.43, [1, 0, 0, 0, 0]]",쇠고기육개장,"[6.0, 6.0, 8.0, [1, 0, 0, 0, 0]]",스팸짜글이,"[0, 0, 0, [0, 0, 0, 0, 1]]",4,4,3
2024-09-18(수),불고기오믈렛,"[27.0, 11.0, 15.0, [1, 0, 0, 0, 0]]",부대찌개,"[41.11, 38.55, 27.7, [1, 0, 0, 0, 0]]",돼지찌개,"[14.0, 3.0, 10.0, [1, 0, 0, 0, 0]]",1,2,2
2024-09-19(목),맑은콩나물국,"[3.0, 1.0, 5.0, [1, 0, 0, 0, 0]]",김치말이국수,"[76.7, 7.01, 17.37, [1, 0, 0, 0, 0]]",닭곰탕,"[1.87, 4.75, 18.72, [1, 0, 0, 0, 0]]",2,1,1
2024-09-20(금),순두부국,"[3.61, 2.62, 4.01, [1, 0, 0, 0, 0]]",쇠고기미역국,"[16.08, 6.78, 15.06, [1, 0, 0, 0, 0]]",우동국물,"[12.38, 2.74, 1.62, [1, 0, 0, 0, 0]]",1,1,5
2024-09-21(토),불고기버거,"[50.0, 22.0, 20.0, [1, 0, 0, 0, 0]]",청양고추맛소시지,"[9.3, 18.9, 10.4, [1, 0, 0, 0, 0]]",감자수제비국,"[66.44, 6.59, 15.81, [1, 0, 0, 0, 0]]",1,1,1
