날짜,breakfast,breakfast_embedding,lunch,lunch_embedding,dinner,dinner_embedding,breakfast_count,lunch_count,dinner_count
2024-04-01(월),맑은콩나물국,"[3.0, 1.0, 5.0, [1, 0, 0, 0, 0]]",쇠고기미역국,"[16.08, 6.78, 15.06, [1, 0, 0, 0, 0]]",쇠고기육개장,"[6.0, 6.0, 8.0, [1, 0, 0, 0, 0]]",1,20,7
2024-04-02(화),감자계란국,"[0, 0, 0, [0, 0, 0, 0, 1]]",칼국수,"[71.74, 8.79, 16.04, [1, 0, 0, 0, 0]]",두부김치국,"[18.0, 26.0, 28.0, [1, 0, 0, 0, 0]]",4,1,2
2024-04-03(수),사골곰탕,"[0.0, 2.4, 3.0, [1, 0, 0, 0, 0]]",유부장국,"[8.17, 2.48, 5.99, [1, 0, 0, 0, 0]]",참치김치찌개,"[6.11, 4.71, 9.71, [1, 0, 0, 0, 0]]",2,14,6
2024-04-04(목),쇠고기두부탕국,"[0, 0, 0, [0, 0, 0, 0, 1]]",고기듬뿍순댓국,"[5.0, 3.2, 6.0, [1, 0, 0, 0, 0]]",햄듬뿍찌개,"[0, 0, 0, [0, 0, 0, 0, 1]]",7,7,4
2024-04-05(금),돼지고기짜글이,"[5.0, 8.0, 9.0, [1, 0, 0, 0, 0]]",얼큰콩나물국,"[5.87, 1.54, 2.17, [1, 0, 0, 0, 0]]",종합어묵국,"[26.0, 0.0, 12.0, [1, 0, 0, 0, 0]]",2,2,8
2024-04-06(토),갈릭치킨스테이크,"[46.0, 51.0, 62.0, [1, 0, 0, 0, 0]]",유부장국,"[8.17, 2.48, 5.99, [1, 0, 0, 0, 0]]",얼큰새우탕,"[0, 0, 0, [0, 0, 0, 0, 1]]",2,14,6
2024-04-07(일),얼큰쇠고기무국,"[9.6, 3.4, 10.0, [1, 0, 0, 0, 0]]",부대찌개,"[41.11, 38.55, 27.7, [1, 0, 0, 0, 0]]",돈코츠숙주국,"[0, 0, 0, [0, 0, 0, 0, 1]]",13,5,3
2024-04-08(월),시금치고추장무침,"[0, 0, 0, [0, 0, 0, 0, 1]]",계란찜,"[2.07, 10.11, 10.05, [1, 0, 0, 0, 0]]",크림새우,"[11.89, 6.05, 12.97, [1, 0, 0, 0, 0]]",1,1,1
2024-04-09(화),소시지구이,"[23.0, 20.0, 11.0, [1, 0, 0, 0, 0]]",팽이버섯된장국,"[0, 0, 0, [0, 0, 0, 0, 1]]",바지락수제비,"[0, 0, 0, [0, 0, 0, 0, 1]]",3,3,1
2024-04-10(수),감자호박국,"[0, 0, 0, [0, 0, 0, 0, 1]]",맑은콩나물국,"[3.0, 1.0, 5.0, [1, 0, 0, 0, 0]]",물만둣국,"[29.95, 21.79, 24.12, [1, 0, 0, 0, 0]]",1,6,2
2024-04-11(목),오징어무국,"[3.8, 0.96, 10.35, [1, 0, 0, 0, 0]]",흑미밥,"[0, 0, 0, [1, 0, 0, 0, 0]]",매운어묵탕,"[0, 0, 0, [0, 0, 0, 0, 1]]",2,1,6
2024-04-12(금),바지락된장국,"[6.68, 2.29, 28.91, [1, 0, 0, 0, 0]]",부추달걀국,"[0, 0, 0, [0, 0, 0, 0, 1]]",사골떡만둣국,"[202.0, 28.0, 36.0, [1, 0, 0, 0, 0]]",1,4,3
2024-04-13(토),탄산음료,"[0, 0, 0, [0, 0, 0, 0, 1]]",닭가슴살샐러드,"[2.13, 16.36, 11.11, [1, 0, 0, 0, 0]]",연두부양념장,"[0, 0, 0, [0, 0, 0, 0, 1]]",1,1,1
2024-04-14(일),스팸짜글이,"[0, 0, 0, [0, 0, 0, 0, 1]]",들깨두부탕,"[4.0, 4.2, 5.0, [1, 0, 0, 0, 0]]",참치김치찌개,"[6.11, 4.71, 9.71, [1, 0, 0, 0, 0]]",1,2,6
2024-04-15(월),돼지고기애호박찌개,"[0, 0, 0, [0, 0, 0, 0, 1]]",쇠고기미역국,"[16.08, 6.78, 15.06, [1, 0, 0, 0, 0]]",감자계란국,"[0, 0, 0, [0, 0, 0, 0, 1]]",9,20,4
2024-04-16(화),팽이버섯장국,"[6.96, 0.41, 2.7, [1, 0, 0, 0, 0]]",부대찌개,"[41.11, 38.55, 27.7, [1, 0, 0, 0, 0]]",얼큰쇠고기무국,"[9.6, 3.4, 10.0, [1, 0, 0, 0, 0]]",7,5,2
2024-04-17(수),버섯쇠고기찌개,"[0, 0, 0, [0, 0, 0, 0, 1]]",새우아욱된장국,"[4.88, 0.73, 2.68, [1, 0, 0, 0, 0]]",명태매운탕,"[0, 0, 0, [0, 0, 0, 0, 1]]",4,1,1
2024-04-18(목),두부감자맑은국,"[0, 0, 0, [0, 0, 0, 0, 1]]",소고기된장찌개,"[0, 0, 0, [0, 0, 0, 0, 1]]",해물짬뽕국,"[69.0, 8.0, 18.0, [1, 0, 0, 0, 0]]",2,2,6
2024-04-19(금),쇠고기무국,"[12.07, 8.62, 16.43, [1, 0, 0, 0, 0]]",팽이버섯된장국,"[0, 0, 0, [0, 0, 0, 0, 1]]",순두부찌개,"[5.62, 17.99, 18.25, [1, 0, 0, 0, 0]]",10,3,2
2024-04-20(토),구운야채,"[15.39, 0.68, 4.18, [1, 0, 0, 0, 0]]",풀드포크또띠아,"[0, 0, 0, [0, 0, 0, 0, 1]]",만두육개장,"[0, 0, 0, [0, 0, 0, 0, 1]]",2,1,6
2024-04-21(일),근대된장국,"[5.82, 1.36, 3.47, [1, 0, 0, 0, 0]]",닭가슴살떡국,"[0.0, 1.23, 22.98, [1, 0, 0, 0, 0]]",차돌된장찌개,"[14.67, 10.78, 19.1, [1, 0, 0, 0, 0]]",1,1,2
2024-04-22(월),베이글&딸기쨈,"[53.02, 1.7, 10.52, [1, 0, 0, 0, 0]]",싸이버거,"[60.0, 27.0, 28.0, [1, 0, 0, 0, 0]]",시원한묵사발,"[0, 0, 0, [0, 0, 0, 0, 1]]",1,1,2
2024-04-23(화),얼큰콩나물국,"[5.87, 1.54, 2.17, [1, 0, 0, 0, 0]]",들깨미역국,"[11.76, 5.28, 2.78, [1, 0, 0, 0, 0]]",배추쇠고기국,"[0, 0, 0, [0, 0, 0, 0, 1]]",3,5,2
2024-04-24(수),시금치된장국,"[17.48, 2.8, 7.91, [1, 0, 0, 0, 0]]",일본식쇠고기카레,"[39.0, 15.0, 18.0, [1, 0, 0, 0, 0]]",부대찌개,"[41.11, 38.55, 27.7, [1, 0, 0, 0, 0]]",2,2,14
2024-04-25(목),생수,"[29.0, 2.2, 6.0, [1, 0, 0, 0, 0]]",석박지,"[3.93, 0.14, 0.81, [1, 0, 0, 0, 0]]",이온음료,"[38.0, 0.0, 0.0, [1, 0, 0, 0, 0]]",2,1,1
2024-04-26(금),황태채국,"[1.0, 3.1, 12.0, [1, 0, 0, 0, 0]]",유부장국,"[8.17, 2.48, 5.99, [1, 0, 0, 0, 0]]",종합어묵국,"[26.0, 0.0, 12.0, [1, 0, 0, 0, 0]]",8,14,8
2024-04-27(토),팽이버섯장국,"[6.96, 0.41, 2.7, [1, 0, 0, 0, 0]]",차돌박이구이,"[0.0, 5.02, 21.41, [1, 0, 0, 0, 0]]",쇠고기무국,"[12.07, 8.62, 16.43, [1, 0, 0, 0, 0]]",7,1,4
2024-04-28(일),시금치된장국,"[17.48, 2.8, 7.91, [1, 0, 0, 0, 0]]",순두부해물찌개,"[5.62, 17.99, 18.25, [1, 0, 0, 0, 0]]",닭고기육개장,"[6.0, 6.0, 8.0, [1, 0, 0, 0, 0]]",2,3,5
2024-04-29(월),두부감자맑은국,"[0, 0, 0, [0, 0, 0, 0, 1]]",쇠고기미역국,"[16.08, 6.78, 15.06, [1, 0, 0, 0, 0]]",돼지고기짜글이,"[5.0, 8.0, 9.0, [1, 0, 0, 0, 0]]",2,20,3
