날짜,조식,중식,석식,breakfast_embedding,lunch_embedding,dinner_embedding
2023-07-03,베이컨계란찜,배추김치,맛김,"[80.0, 16.0, 14.0, [1, 0, 0, 0, 0]]",,"[1.3, 1.5, 1.2, [1, 0, 0, 0, 0]]"
2023-07-03,배추김치,아이스샌드,배추김치,,"[23.0, 8.0, 3.0, [1, 0, 0, 0, 0]]",
2023-07-03,생수,,,"[29.0, 2.2, 6.0, [1, 0, 0, 0, 0]]","[0, 0, 0, [0, 0, 0, 0, 1]]","[0, 0, 0, [0, 0, 0, 0, 1]]"
2023-07-03,우유),,,"[4.6, 4.0, 3.0, [1, 0, 0, 0, 0]]","[0, 0, 0, [0, 0, 0, 0, 1]]","[0, 0, 0, [0, 0, 0, 0, 1]]"
2023-07-04,크림스프,쇠고기국밥,밥,"[11.0, 2.4, 1.0, [1, 0, 0, 0, 0]]",,
2023-07-04,햄슬라이스구이,명엽채볶음,콩비지찌개,"[0, 0, 0, [0, 0, 0, 0, 1]]","[75.22, 6.21, 0.67, [1, 0, 0, 0, 0]]","[12.74, 5.04, 9.38, [1, 0, 0, 0, 0]]"
2023-07-04,스크램블에그,고등어필렛구이,구운불고기,"[1.96, 15.21, 13.01, [1, 0, 0, 0, 0]]","[0.35, 12.6, 17.59, [1, 0, 0, 0, 0]]","[0, 0, 0, [0, 0, 0, 0, 1]]"
2023-07-04,양배추샐러드,총각김치,오이양파장아찌,"[7.45, 1.57, 0.77, [1, 0, 0, 0, 0]]",,"[3.74, 0.32, 0.55, [1, 0, 0, 0, 0]]"
2023-07-04,모닝빵,"참외,신선형)",열무김치,"[17.42, 1.43, 3.28, [1, 0, 0, 0, 0]]","[11.57, 0.27, 1.19, [1, 0, 0, 0, 0]]",
2023-07-04,우유),,,"[4.6, 4.0, 3.0, [1, 0, 0, 0, 0]]","[0, 0, 0, [0, 0, 0, 0, 1]]","[0, 0, 0, [0, 0, 0, 0, 1]]"
2023-07-04,"매일유업,썬업사과,200ml",,,"[16.0, 5.0, 4.0, [1, 0, 0, 0, 0]]","[0, 0, 0, [0, 0, 0, 0, 1]]","[0, 0, 0, [0, 0, 0, 0, 1]]"
2023-07-05,떡만둣국,잡곡밥,밥,"[68.42, 11.05, 15.0, [1, 0, 0, 0, 0]]",,
2023-07-05,밥,들깨수제비국,쇠고기스프,,"[105.0, 16.9, 8.0, [1, 0, 0, 0, 0]]","[56.0, 6.4, 8.0, [1, 0, 0, 0, 0]]"
2023-07-05,갈비산적,춘천닭갈비,고구마치즈돈가스,"[5.0, 7.0, 4.0, [1, 0, 0, 0, 0]]","[12.0, 6.0, 13.0, [1, 0, 0, 0, 0]]","[27.04, 38.87, 54.36, [1, 0, 0, 0, 0]]"
