날짜,breakfast,breakfast_embedding,lunch,lunch_embedding,dinner,dinner_embedding,breakfast_count,lunch_count,dinner_count,breakfast_kobert,lunch_kobert,dinner_kobert,breakfast_cuisine,lunch_cuisine,dinner_cuisine
2023-02-01(수),맑은쇠고기무국,"0.0, 2.5, 20.0",차돌박이된장찌개,"27.0, 28.0, 27.0",부대찌개,"41.11, 38.55, 27.7",44,5,42,[-2.73089524  0.01501581  0.07112982],[-4.57592667  0.1044397  -0.07190806],[-3.00507912  0.18262335 -0.01218277],"[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]"
2023-02-02(목),쇠고기미역국,"16.08, 6.78, 15.06",등뼈감자탕,"28.60179324894517, 6.863291139240503, 11.440843881856539",콩나물국,"5.87, 1.54, 2.17",61,18,9,[-2.73089524  0.01501581  0.07112982],[-4.57592667  0.1044397  -0.07190806],[ 9.23905378  0.05491836 -0.77010861],"[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]"
2023-02-03(금),순두부찌개,"5.62, 17.99, 18.25",랍스터버터구이,"28.60179324894517, 6.863291139240503, 11.440843881856539",나가사끼짬뽕국,"74.0, 9.0, 9.0",7,2,14,[-2.73089524  0.01501581  0.07112982],[ 8.02185333 -2.41084731 -0.58466034],[-3.00507912  0.18262335 -0.01218277],"[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]"
2023-02-04(토),쇠고기청경채볶음,"15.002559652928412, 4.838047722342731, 11.0410845986985",유부장국,"8.17, 2.48, 5.99",돼지고기김치찌개,"6.38, 8.09, 8.17",1,15,28,[-2.73089524  0.01501581  0.07112982],[7.56380175 2.30695686 0.61104963],[-3.00507912  0.18262335 -0.01218277],"[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]"
2023-02-05(일),감자된장국,"15.002559652928412, 4.838047722342731, 11.0410845986985",육개장,"10.45, 7.57, 14.32",콩나물국,"5.87, 1.54, 2.17",7,6,9,[-2.73089524  0.01501581  0.07112982],[7.3177593  1.42927154 0.19420537],[ 9.23905378  0.05491836 -0.77010861],"[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]"
2023-02-06(월),맑은쇠고기무국,"0.0, 2.5, 20.0",미소장국,"7.78, 3.36, 6.02",모듬어묵국,"19.0, 2.7, 9.0",44,16,20,[-2.73089524  0.01501581  0.07112982],[7.70182131 2.17412999 0.24394263],[ 9.25760191  0.15679874 -2.02959642],"[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]"
2023-02-07(화),배추된장국,"8.64, 2.01, 3.8",참치김치찌개,"6.11, 4.71, 9.71",맑은황태채국,"25.500476190476242, 9.815258799171845, 13.478695652173906",23,3,6,[-2.73089524  0.01501581  0.07112982],[-4.57592667  0.1044397  -0.07190806],[-3.00507912  0.18262335 -0.01218277],"[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]"
2023-02-08(수),쇠고기장터국,"7.0, 3.7, 9.0",닭칼국수,"47.12, 6.06, 15.09",누룽지탕,"52.27, 0.33, 5.09",15,3,6,[-2.73089524  0.01501581  0.07112982],[-4.57592667  0.1044397  -0.07190806],[ 8.53666802 -1.01812244 -0.46770849],"[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]"
2023-02-09(목),돼지국밥,"15.002559652928412, 4.838047722342731, 11.0410845986985",나가사끼짬뽕국,"74.0, 9.0, 9.0",모닝빵&딸기잼,"17.42, 1.43, 3.28",1,11,6,[-2.73089524  0.01501581  0.07112982],[-4.57592667  0.1044397  -0.07190806],[-0.67350898  0.05907281 -1.26628721],"[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]"
2023-02-10(금),유부장국,"8.17, 2.48, 5.99",냉이된장국,"15.24, 3.41, 9.74",스팸감자짜글이,"32.0, 1.8, 5.0",5,2,10,[ 9.3932843   1.73312589 -0.25186757],[-4.57592667  0.1044397  -0.07190806],[-3.00507912  0.18262335 -0.01218277],"[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]"
2023-02-12(일),시금치된장국,"17.48, 2.8, 7.91",감자수제비국,"66.44, 6.59, 15.81",맑은쇠고기무국,"0.0, 2.5, 20.0",12,6,3,[-2.73089524  0.01501581  0.07112982],[ 7.70748147  0.01071861 -0.19692788],[-3.00507912  0.18262335 -0.01218277],"[0, 0, 0, 0, 1]","[1, 0, 0, 0, 0]","[0, 0, 0, 0, 1]"
2023-02-13(월),버섯감자찌개,"10.55, 5.06, 9.28",배추된장국,"8.64, 2.01, 3.8",유부된장국,"8.17, 2.48, 5.99",3,5,1,[-2.73089524  0.01501581  0.07112982],[-4.57592667  0.1044397  -0.07190806],[-3.00507912  0.18262335 -0.01218277],"[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]"
2023-02-14(화),맑은쇠고기무국,"0.0, 2.5, 20.0",모듬어묵국,"19.0, 2.7, 9.0",돈육제육볶음,"10.37, 11.03, 13.21",44,18,1,[-2.73089524  0.01501581  0.07112982],[ 7.72289815  0.48065934 -0.02738378],[-3.00507912  0.18262335 -0.01218277],"[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]"
2023-02-15(수),닭곰탕,"1.87, 4.75, 18.72",떡국,"66.59, 3.21, 11.18",계란파국,"0.97, 1.08, 1.58",17,4,5,[-2.73089524  0.01501581  0.07112982],[-4.57592667  0.1044397  -0.07190806],[-3.00507912  0.18262335 -0.01218277],"[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]"
2023-02-16(목),참치김치찌개,"6.11, 4.71, 9.71",아욱된장국,"4.88, 0.73, 2.68",어묵국,"12.5, 2.37, 12.66",13,3,1,[-2.73089524  0.01501581  0.07112982],[-4.57592667  0.1044397  -0.07190806],[8.78317001 1.21236272 0.11571232],"[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]"
2023-02-17(금),호박고추장찌개,"13.53, 2.9, 6.9",차돌육개장,"9.0, 12.0, 18.0",쇠고기장터국,"7.0, 3.7, 9.0",7,7,8,[-2.73089524  0.01501581  0.07112982],[8.19773866 0.65919931 0.15283704],[-3.00507912  0.18262335 -0.01218277],"[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]"
2023-02-18(토),쇠고기미역국,"16.08, 6.78, 15.06",순두부짬뽕국,"69.0, 7.0, 9.0",부대찌개,"41.11, 38.55, 27.7",61,7,42,[-2.73089524  0.01501581  0.07112982],[-4.57592667  0.1044397  -0.07190806],[-3.00507912  0.18262335 -0.01218277],"[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]"
2023-02-19(일),시금치된장국,"17.48, 2.8, 7.91",감자수제비국,"66.44, 6.59, 15.81",계란파국,"0.97, 1.08, 1.58",12,6,5,[-2.73089524  0.01501581  0.07112982],[ 7.70748147  0.01071861 -0.19692788],[-3.00507912  0.18262335 -0.01218277],"[0, 0, 0, 0, 1]","[1, 0, 0, 0, 0]","[0, 0, 0, 0, 1]"
2023-02-20(월),닭개장,"7.33, 14.54, 31.38",우렁강된장찌개,"12.0, 1.8, 7.0",돼지국밥,"25.500476190476242, 9.815258799171845, 13.478695652173906",4,3,8,[-2.73089524  0.01501581  0.07112982],[-4.57592667  0.1044397  -0.07190806],[-3.00507912  0.18262335 -0.01218277],"[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]"
2023-02-21(화),쇠고기미역국,"16.08, 6.78, 15.06",등뼈감자탕,"28.60179324894517, 6.863291139240503, 11.440843881856539",모듬어묵국,"19.0, 2.7, 9.0",61,18,20,[-2.73089524  0.01501581  0.07112982],[-4.57592667  0.1044397  -0.07190806],[ 9.25760191  0.15679874 -2.02959642],"[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]"
2023-02-22(수),순두부찌개,"5.62, 17.99, 18.25",미소장국,"7.78, 3.36, 6.02",짬뽕수제비국,"93.0, 3.7, 10.0",7,16,8,[-2.73089524  0.01501581  0.07112982],[7.70182131 2.17412999 0.24394263],[-3.00507912  0.18262335 -0.01218277],"[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]"
2023-02-23(목),맑은쇠고기무국,"0.0, 2.5, 20.0",냉이된장국,"15.24, 3.41, 9.74",쇠고기미역국,"16.08, 6.78, 15.06",44,2,12,[-2.73089524  0.01501581  0.07112982],[-4.57592667  0.1044397  -0.07190806],[-3.00507912  0.18262335 -0.01218277],"[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]"
2023-02-24(금),스팸김치찌개,"19.0, 20.0, 19.0",쌀국수,"55.0, 4.2, 16.0",육개장,"10.45, 7.57, 14.32",6,1,37,[-2.73089524  0.01501581  0.07112982],[6.8800463  2.02235771 0.30492878],[9.07671105 0.46366652 2.50736934],"[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]"
2023-02-25(토),햄버거빵,"29.77, 2.6, 5.71",쇠고기전골,"47.0, 7.0, 13.0",스팸감자짜글이,"32.0, 1.8, 5.0",1,10,10,[-2.73089524  0.01501581  0.07112982],[-4.57592667  0.1044397  -0.07190806],[-3.00507912  0.18262335 -0.01218277],"[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]"
2023-02-26(일),사골곰탕,"0.0, 2.4, 3.0",돼지고기김치찌개,"6.38, 8.09, 8.17",부대찌개,"41.11, 38.55, 27.7",1,5,42,[ 9.12562932 -0.16050917 -0.47678497],[-4.57592667  0.1044397  -0.07190806],[-3.00507912  0.18262335 -0.01218277],"[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]"
2023-03-01(수),아욱된장국,"4.88, 0.73, 2.68",순두부찌개,"5.62, 17.99, 18.25",맑은황태채국,"25.500476190476242, 9.815258799171845, 13.478695652173906",10,9,6,[-2.73089524  0.01501581  0.07112982],[-4.57592667  0.1044397  -0.07190806],[-3.00507912  0.18262335 -0.01218277],"[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]"
2023-03-02(목),쇠고기미역국,"16.08, 6.78, 15.06",온메밀국수,"116.0, 4.0, 22.0",두부고추장찌개,"13.53, 2.9, 6.9",61,2,12,[-2.73089524  0.01501581  0.07112982],[7.52937532 0.05600433 0.07314267],[-3.00507912  0.18262335 -0.01218277],"[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]"
2023-03-03(금),참치김치찌개,"6.11, 4.71, 9.71",나가사끼짬뽕국,"74.0, 9.0, 9.0",시금치된장국,"17.48, 2.8, 7.91",13,11,2,[-2.73089524  0.01501581  0.07112982],[-4.57592667  0.1044397  -0.07190806],[-3.00507912  0.18262335 -0.01218277],"[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]"
2023-03-04(토),팽이버섯계란국,"15.002559652928412, 4.838047722342731, 11.0410845986985",육개장,"10.45, 7.57, 14.32",쇠고기감자국,"7.0, 2.4, 13.0",17,6,2,[-2.73089524  0.01501581  0.07112982],[7.3177593  1.42927154 0.19420537],[-3.00507912  0.18262335 -0.01218277],"[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]"
2023-03-06(월),콩나물국,"5.87, 1.54, 2.17",전투식량,"28.60179324894517, 6.863291139240503, 11.440843881856539",감자계란국,"25.500476190476242, 9.815258799171845, 13.478695652173906",29,3,9,[ 9.60663005  1.56568599 -0.01280718],[-4.57592667  0.1044397  -0.07190806],[-3.00507912  0.18262335 -0.01218277],"[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]"
2023-03-07(화),맑은황태채국,"15.002559652928412, 4.838047722342731, 11.0410845986985",꽃게탕,"3.95, 1.58, 12.87",모듬어묵국,"19.0, 2.7, 9.0",24,13,20,[-2.73089524  0.01501581  0.07112982],[-4.57592667  0.1044397  -0.07190806],[ 9.25760191  0.15679874 -2.02959642],"[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]"
2023-03-08(수),얼큰쇠고기무국,"9.6, 3.4, 10.0",돼지고기김치찌개,"6.38, 8.09, 8.17",유부장국,"8.17, 2.48, 5.99",24,5,10,[-2.73089524  0.01501581  0.07112982],[-4.57592667  0.1044397  -0.07190806],[9.2403518  0.68256435 0.82018239],"[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]"
2023-03-09(목),냉이된장국,"15.24, 3.41, 9.74",생우동,"67.0, 3.1, 9.0",닭개장,"7.33, 14.54, 31.38",1,2,16,[-2.73089524  0.01501581  0.07112982],[6.9149717  1.20904093 0.13978265],[-3.00507912  0.18262335 -0.01218277],"[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]"
2023-03-10(금),버섯감자찌개,"10.55, 5.06, 9.28",모닝빵&딸기잼,"17.42, 1.43, 3.28",육개장,"10.45, 7.57, 14.32",3,11,37,[-2.73089524  0.01501581  0.07112982],[-2.2062588  -3.03490139  4.91401341],[9.07671105 0.46366652 2.50736934],"[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]"
2023-03-12(일),쇠고기미역국,"16.08, 6.78, 15.06",부대찌개,"41.11, 38.55, 27.7",순두부찌개,"5.62, 17.99, 18.25",61,13,26,[-2.73089524  0.01501581  0.07112982],[-4.57592667  0.1044397  -0.07190806],[-3.00507912  0.18262335 -0.01218277],"[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]"
2023-03-13(월),스팸감자짜글이,"32.0, 1.8, 5.0",미소장국,"7.78, 3.36, 6.02",돼지국밥,"25.500476190476242, 9.815258799171845, 13.478695652173906",8,16,8,[-2.73089524  0.01501581  0.07112982],[7.70182131 2.17412999 0.24394263],[-3.00507912  0.18262335 -0.01218277],"[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]"
2023-03-14(화),쇠고기감자국,"7.0, 2.4, 13.0",누룽지탕,"52.27, 0.33, 5.09",순두부짬뽕국,"69.0, 7.0, 9.0",16,6,13,[-2.73089524  0.01501581  0.07112982],[ 7.02309274 -0.86056259 -0.40138459],[-3.00507912  0.18262335 -0.01218277],"[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]"
2023-03-15(수),스팸김치찌개,"19.0, 20.0, 19.0",전투식량,"28.60179324894517, 6.863291139240503, 11.440843881856539",두부고추장찌개,"13.53, 2.9, 6.9",6,3,12,[-2.73089524  0.01501581  0.07112982],[-4.57592667  0.1044397  -0.07190806],[-3.00507912  0.18262335 -0.01218277],"[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]"
2023-03-16(목),감자매운조림,"6.66, 1.68, 0.79",도토리묵&양념장,"8.78, 0.82, 0.66",오믈렛,"0.42, 7.33, 6.48",2,2,2,[10.0848321  -1.28556606  0.02157554],[ 6.57050424 -1.33644959  0.98533601],[-3.00507912  0.18262335 -0.01218277],"[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]"
2023-03-17(금),맑은쇠고기무국,"0.0, 2.5, 20.0",쇠고기전골,"47.0, 7.0, 13.0",육개장,"10.45, 7.57, 14.32",44,10,37,[-2.73089524  0.01501581  0.07112982],[-4.57592667  0.1044397  -0.07190806],[9.07671105 0.46366652 2.50736934],"[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]"
2023-03-18(토),닭곰탕,"1.87, 4.75, 18.72",부대찌개,"41.11, 38.55, 27.7",감자수제비국,"66.44, 6.59, 15.81",17,13,10,[-2.73089524  0.01501581  0.07112982],[-4.57592667  0.1044397  -0.07190806],[ 9.22831552 -0.31605379 -0.9373867 ],"[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]","[1, 0, 0, 0, 0]"
2023-03-19(일),얼큰황태채국,"15.002559652928412, 4.838047722342731, 11.0410845986985",호박고추장찌개,"13.53, 2.9, 6.9",나가사끼짬뽕국,"74.0, 9.0, 9.0",18,2,14,[10.15846621 -0.48168947  0.9615986 ],[-4.57592667  0.1044397  -0.07190806],[-3.00507912  0.18262335 -0.01218277],"[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]"
2023-03-20(월),참치김치찌개,"6.11, 4.71, 9.71",짬뽕수제비국,"93.0, 3.7, 10.0",차돌박이된장찌개,"27.0, 28.0, 27.0",13,9,1,[-2.73089524  0.01501581  0.07112982],[-4.57592667  0.1044397  -0.07190806],[-3.00507912  0.18262335 -0.01218277],"[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]"
2023-03-21(화),쇠고기장터국,"7.0, 3.7, 9.0",미소장국,"7.78, 3.36, 6.02",호박된장찌개,"16.77, 5.6, 15.01",15,16,10,[-2.73089524  0.01501581  0.07112982],[7.70182131 2.17412999 0.24394263],[-3.00507912  0.18262335 -0.01218277],"[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]"
2023-03-22(수),쇠고기미역국,"16.08, 6.78, 15.06",등뼈감자탕,"28.60179324894517, 6.863291139240503, 11.440843881856539",떡국,"66.59, 3.21, 11.18",61,18,10,[-2.73089524  0.01501581  0.07112982],[-4.57592667  0.1044397  -0.07190806],[-3.00507912  0.18262335 -0.01218277],"[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]"
2023-03-23(목),콩나물국,"5.87, 1.54, 2.17",계란파국,"0.97, 1.08, 1.58",맑은쇠고기무국,"0.0, 2.5, 20.0",29,15,3,[ 9.60663005  1.56568599 -0.01280718],[-4.57592667  0.1044397  -0.07190806],[-3.00507912  0.18262335 -0.01218277],"[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]"
2023-03-24(금),얼큰황태채국,"15.002559652928412, 4.838047722342731, 11.0410845986985",돼지국밥,"28.60179324894517, 6.863291139240503, 11.440843881856539",버섯감자찌개,"10.55, 5.06, 9.28",18,8,7,[10.15846621 -0.48168947  0.9615986 ],[-4.57592667  0.1044397  -0.07190806],[-3.00507912  0.18262335 -0.01218277],"[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]"
2023-03-25(토),스팸김치찌개,"19.0, 20.0, 19.0",햄버거빵,"29.77, 2.6, 5.71",모듬어묵국,"19.0, 2.7, 9.0",6,5,20,[-2.73089524  0.01501581  0.07112982],[-4.57592667  0.1044397  -0.07190806],[ 9.25760191  0.15679874 -2.02959642],"[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]"
2023-03-26(일),닭개장,"7.33, 14.54, 31.38",차돌박이된장찌개,"27.0, 28.0, 27.0",감자된장국,"25.500476190476242, 9.815258799171845, 13.478695652173906",4,5,4,[-2.73089524  0.01501581  0.07112982],[-4.57592667  0.1044397  -0.07190806],[-3.00507912  0.18262335 -0.01218277],"[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]"
2023-03-27(월),얼큰쇠고기무국,"9.6, 3.4, 10.0",우렁강된장찌개,"12.0, 1.8, 7.0",모닝빵&딸기잼,"17.42, 1.43, 3.28",24,3,6,[-2.73089524  0.01501581  0.07112982],[-4.57592667  0.1044397  -0.07190806],[-0.67350898  0.05907281 -1.26628721],"[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]"
2023-03-28(화),떡국,"66.59, 3.21, 11.18",순두부찌개,"5.62, 17.99, 18.25",호박된장찌개,"16.77, 5.6, 15.01",20,9,10,[-2.73089524  0.01501581  0.07112982],[-4.57592667  0.1044397  -0.07190806],[-3.00507912  0.18262335 -0.01218277],"[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]"
2023-03-29(수),갓김치,"13.83, 1.75, 5.89",단무지,"0.98, 0.06, 0.21",깍두기,"3.21, 0.29, 0.62",1,2,2,[-2.73089524  0.01501581  0.07112982],[ 6.05632392  0.26436818 -0.21554681],[-3.00507912  0.18262335 -0.01218277],"[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]"
2023-03-30(목),배추된장국,"8.64, 2.01, 3.8",돈마호크스테이크,"28.60179324894517, 6.863291139240503, 11.440843881856539",돼지고기김치찌개,"6.38, 8.09, 8.17",23,1,28,[-2.73089524  0.01501581  0.07112982],[ 7.58778211 -3.60128438 -1.09352606],[-3.00507912  0.18262335 -0.01218277],"[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]"
2023-03-31(금),쇠고기미역국,"16.08, 6.78, 15.06",쇠고기전골,"47.0, 7.0, 13.0",쇠고기장터국,"7.0, 3.7, 9.0",61,10,8,[-2.73089524  0.01501581  0.07112982],[-4.57592667  0.1044397  -0.07190806],[-3.00507912  0.18262335 -0.01218277],"[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]"
2023-04-01(토),배추된장국,"8.64, 2.01, 3.8",나가사끼짬뽕국,"74.0, 9.0, 9.0",닭곰탕,"1.87, 4.75, 18.72",23,11,3,[-2.73089524  0.01501581  0.07112982],[-4.57592667  0.1044397  -0.07190806],[-3.00507912  0.18262335 -0.01218277],"[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]"
2023-04-02(일),차돌박이된장찌개,"27.0, 28.0, 27.0",부대찌개,"41.11, 38.55, 27.7",돼지고기김치찌개,"6.38, 8.09, 8.17",6,13,28,[-2.73089524  0.01501581  0.07112982],[-4.57592667  0.1044397  -0.07190806],[-3.00507912  0.18262335 -0.01218277],"[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]"
2023-04-03(월),맑은쇠고기무국,"0.0, 2.5, 20.0",팽이버섯계란국,"28.60179324894517, 6.863291139240503, 11.440843881856539",유부장국,"8.17, 2.48, 5.99",44,3,10,[-2.73089524  0.01501581  0.07112982],[-4.57592667  0.1044397  -0.07190806],[9.2403518  0.68256435 0.82018239],"[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]"
