날짜,breakfast,breakfast_embedding,lunch,lunch_embedding,dinner,dinner_embedding,breakfast_count,lunch_count,dinner_count
2023-01-01,떡만둣국,"[68.42, 11.05, 15.0, [1, 0, 0, 0, 0]]",두부고추장찌개,"[13.53, 2.9, 6.9, [1, 0, 0, 0, 0]]",쇠고기육개장,"[6.0, 6.0, 8.0, [1, 0, 0, 0, 0]]",10,4,6
2023-01-02,비엔나소시지김치찌개,"[0, 0, 0, [0, 0, 0, 0, 1]]",쇠고기미역국,"[16.08, 6.78, 15.06, [1, 0, 0, 0, 0]]",닭볶음탕,"[9.4, 9.5, 25.72, [1, 0, 0, 0, 0]]",1,7,9
2023-01-03,전복죽,"[25.0, 6.0, 3.0, [1, 0, 0, 0, 0]]",짬뽕찌개,"[0, 0, 0, [0, 0, 0, 0, 1]]",도가니탕,"[8.23, 25.08, 55.98, [1, 0, 0, 0, 0]]",10,2,1
2023-01-04,근대된장국,"[5.82, 1.36, 3.47, [1, 0, 0, 0, 0]]",전투식량,"[0, 0, 0, [0, 0, 0, 0, 1]]",부대찌개,"[41.11, 38.55, 27.7, [1, 0, 0, 0, 0]]",9,3,17
2023-01-05,쇠고기호박찌개,"[0, 0, 0, [0, 0, 0, 0, 1]]",강된장찌개,"[16.77, 5.6, 15.01, [1, 0, 0, 0, 0]]",수제치킨버거,"[32.22, 9.75, 12.98, [1, 0, 0, 0, 0]]",6,17,3
2023-01-06,생선묵국,"[0, 0, 0, [0, 0, 0, 0, 1]]",감자계란국,"[0, 0, 0, [0, 0, 0, 0, 1]]",순두부국,"[3.61, 2.62, 4.01, [1, 0, 0, 0, 0]]",3,2,3
2023-01-07,치즈불고기버거,"[28.0, 21.0, 8.0, [1, 0, 0, 0, 0]]",닭곰탕,"[1.87, 4.75, 18.72, [1, 0, 0, 0, 0]]",참치김치찌개,"[6.11, 4.71, 9.71, [1, 0, 0, 0, 0]]",3,2,3
2023-01-08,돼지고기김치찌개,"[6.38, 8.09, 8.17, [1, 0, 0, 0, 0]]",호박된장찌개,"[16.77, 5.6, 15.01, [1, 0, 0, 0, 0]]",미소된장국,"[7.78, 3.36, 6.02, [1, 0, 0, 0, 0]]",10,14,20
2023-01-09,쇠고기무국,"[12.07, 8.62, 16.43, [1, 0, 0, 0, 0]]",하이라이스,"[49.14, 9.49, 10.26, [1, 0, 0, 0, 0]]",불향가득짬뽕탕,"[18.62, 11.0, 15.0, [1, 0, 0, 0, 0]]",31,1,1
2023-01-10,감자수제비,"[66.44, 6.59, 15.81, [1, 0, 0, 0, 0]]",잔치국수,"[83.16, 3.94, 20.78, [1, 0, 0, 0, 0]]",팽이버섯된장국,"[0, 0, 0, [0, 0, 0, 0, 1]]",10,4,18
2023-01-11,두부맑은국,"[0, 0, 0, [0, 0, 0, 0, 1]]",홍합탕,"[11.91, 7.58, 22.81, [1, 0, 0, 0, 0]]",중화식계란탕,"[0, 0, 0, [0, 0, 0, 0, 1]]",8,5,6
2023-01-12,쇠고기미역국,"[16.08, 6.78, 15.06, [1, 0, 0, 0, 0]]",감자옹심이국,"[48.72, 5.3, 5.23, [1, 0, 0, 0, 0]]",미니우동,"[47.56, 0.62, 7.04, [1, 0, 0, 0, 0]]",22,5,5
